Padi,Pertanian Kehutanan dan Perikanan
Jagung,Pertanian Kehutanan dan Perikanan
Tanaman Umbi-umbian,Pertanian Kehutanan dan Perikanan
Sayur-sayuran dan buah-buahan,Pertanian Kehutanan dan Perikanan
Kacang Tanah,Pertanian Kehutanan dan Perikanan
Kacang kedelai,Pertanian Kehutanan dan Perikanan
Tanaman Bahan Mkanan Lainnya,Pertanian Kehutanan dan Perikanan
Kelapa,Pertanian Kehutanan dan Perikanan
Tembakau,Pertanian Kehutanan dan Perikanan
Kopi,Pertanian Kehutanan dan Perikanan
Tanaman Perkebunan Lainnya,Pertanian Kehutanan dan Perikanan
Ternak Besar,Pertanian Kehutanan dan Perikanan
Ternak Kecil,Pertanian Kehutanan dan Perikanan
Jasa Pemotongan Ternak,Pertanian Kehutanan dan Perikanan
Unggas dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Kehutanan dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Perikanan,Pertanian Kehutanan dan Perikanan
Batu Padas,Pertambangan dan Penggalian
Barang galian lainnya,Pertambangan dan Penggalian
Pertambangan,Pertambangan dan Penggalian
Penggilingan padi penyosohan beras,Industri Pengolahan
Industri kopra minyak goreng,Industri Pengolahan
Industri makanan minuman tembakau kopi,Industri Pengolahan
Industri tekstil pakaian jadi dan barang dari kulit,Industri Pengolahan
Industri kayu dan barang dari kayu,Industri Pengolahan
Industri kertas barang dari kertas dan karton,Industri Pengolahan
Bahan bakar & Industri kimia karet plastik,Industri Pengolahan
Industri kerajinan dan bahan galian,Industri Pengolahan
Industri bahan bangunan (barang mineral bukan logam) lainnya,Industri Pengolahan
Industri karoseri dan alat angkutan,Industri Pengolahan
industri logam dasar dan barang logam lainnya,Industri Pengolahan
Industri barang perhiasan,Industri Pengolahan
Industri pengolahan lainnya,Industri Pengolahan
Listrik dan air minum,Pengadaan Listrik Gas
Konstruksi,Konstruksi
Perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Restoran Rumah makan warung,Penyediaan Akomodasi dan Makan Minum
Hotel Bintang,Penyediaan Akomodasi dan Makan Minum
Hotel Non Bintang,Penyediaan Akomodasi dan Makan Minum
Angkutan darat,Transportasi dan Pergudangan
Angkutan laut ,Transportasi dan Pergudangan
Angkutan Udara,Transportasi dan Pergudangan
Travel Biro,Penyediaan Akomodasi dan Makan Minum
Jasa Penunjang Angkutan Lainnya,Transportasi dan Pergudangan
Komunikasi pos dan Giro,Informasi dan Komunikasi
Perbankan,Jasa Keuangan dan Asuransi
Money Changer,Jasa Keuangan dan Asuransi
Persewaan Bangunan dan Tanah,Jasa Keuangan dan Asuransi
Lembaga Keuangan Lainnya,Jasa Keuangan dan Asuransi
Jasa Perusahaan,Real Estat
Jasa Pemerintahan Umum,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib
Jasa Sosial kemasyarakatan,Jasa Kesehatan dan Kegiatan Sosial
Atraksi Budaya,Jasa lainnya
Jasa Hiburan Perorangan dan Lainnya,Jasa lainnya
