ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1,Padi,1678027.6,0,0,525371.175,0,0,0,525371.175,617102.65,9910.72458,0,0,160.88508,110.99034,0,0,0
2,Jagung,71699.016,0,0,0,21157.6968,0,0,0,49367.9592,1142.031288,0,0,18.539088,12.789624,0,0,0
3,Tanaman Umbi-umbian,41837.25,0,0,0,11941.875,0,0,0,27864.375,1976.7723,0,0,32.0898,22.1379,0,0,0
4,Sayur-sayuran dan buah-buahan,109773.45,0,0,0,30147.255,0,0,0,70343.595,9034.75458,0,0,146.66508,101.18034,0,0,0
5,Kacang Tanah,3804.66,0,0,0,858.51,0,0,0,2003.19,917.782968,0,0,14.898768,10.278264,0,0,0
6,Kacang kedelai,1380.39,0,0,0,378.765,0,0,0,883.785,114.693672,0,0,1.861872,1.284456,0,0,0
7,Tanaman Bahan Mkanan Lainnya,175.23,0,0,0,39.285,0,0,0,91.665,43.097724,0,0,0.699624,0.482652,0,0,0
8,Kelapa,46613.3132,0,0,0,0,0,0,0,26048.6162,0,0,0,6169.4091,14395.2879,0,0,0
9,Tembakau,1275.7965,0,0,0,83.32695,0,0,0,194.42955,971.392332,0,0,15.769032,10.878636,0,0,0
10,Kopi,3182.19,0,0,0,704.133,0,0,0,1642.977,812.783364,0,0,13.194264,9.102372,0,0,0
11,Tanaman Perkebunan Lainnya,4888.2735,0,0,0,718.90605,0,0,0,1677.44745,2425.385736,0,0,39.372336,27.161928,0,0,0
12,Ternak Besar,96046.95,0,0,0,0,0,0,0,16007.825,0,0,0,0,80039.125,0,0,0
13,Ternak Kecil,6190.316,0,0,0,2004.81825,0,0,0,2004.81825,0,0,0,0,2180.6795,0,0,0
14,Jasa Pemotongan Ternak,8873.138,8.3061408,3.571346,2.7760772,0,0,0,12.9562542,9.2081818,8600.390256,0,0,139.613856,96.315888,0,0,0
15,Unggas dan hasil-hasilnya,8558.0046,0,0,0,946.57338,0,0,0,2208.67122,5258.506308,0,0,85.363608,58.890084,0,0,0
16,Kehutanan dan hasil-hasilnya,86.8805,0.0813288,0.0349685,0.0271817,0,0,0,0.12685995,0.09016105,84.209916,0,0,1.367016,0.943068,0,0,0
17,Perikanan,44068.14834,0,0,0,5041.29417,0,0,0,5041.29417,33078.14555,0,0,536.971848,370.442604,0,0,0
18,Batu Padas,252.327,0.2362032,0.101559,0.0789438,0,0,0,0.3684393,0.2618547,244.570824,0,0,3.970224,2.738952,0,0,0
19,Barang galian lainnya,777.225,0.72756,0.312825,0.243165,0,0,0,1.1348775,0.8065725,753.3342,0,0,12.2292,8.4366,0,0,0
20,Pertambangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Penggilingan padi, penyosohan beras",726.856,0.6804096,0.292552,0.2274064,0,0,0,1.0613304,0.7543016,704.513472,0,0,11.436672,7.889856,0,0,0
22,"Industri kopra, minyak goreng",1590.359,1.4887344,0.640103,0.4975646,0,0,0,2.3221881,1.6504099,1541.473608,0,0,25.023408,17.262984,0,0,0
23,"Industri makanan, minuman, tembakau, kopi",2641.842,2.4730272,1.063314,0.8265348,0,0,0,3.8575278,2.7415962,2560.635504,0,0,41.567904,28.676592,0,0,0
24,"Industri tekstil, pakaian jadi, dan barang dari kulit",17439.242,16.3248672,7.019114,5.4560948,0,0,0,25.4641878,18.0977362,16903.1843,0,0,274.396704,189.298992,0,0,0
25,Industri kayu dan barang dari kayu,8617.7985,8.0671176,3.4685745,2.6961909,0,0,0,12.58341615,8.94320085,8352.899532,0,0,135.596232,93.544236,0,0,0
26,"Industri kertas, barang dari kertas dan karton",528.6335,0.4948536,0.2127695,0.1653899,0,0,0,0.77189265,0.54859435,512.384052,0,0,8.317752,5.738196,0,0,0
27,"Bahan bakar & Industri kimia, karet, plastik",1670.0095,1.5632952,0.6721615,0.5224843,0,0,0,2.43849105,1.73306795,1618.675764,0,0,26.276664,18.127572,0,0,0
28,Industri kerajinan dan bahan galian,131.9475,0.123516,0.0531075,0.0412815,0,0,0,0.19266525,0.13692975,127.89162,0,0,2.07612,1.43226,0,0,0
29,Industri bahan bangunan (barang mineral bukan logam) lainnya,398.132,0.3726912,0.160244,0.1245608,0,0,0,0.5813388,0.4131652,385.893984,0,0,6.264384,4.321632,0,0,0
30,Industri karoseri dan alat angkutan,530.8025,0.496884,0.2136425,0.1660685,0,0,0,0.77505975,0.55084525,514.48638,0,0,8.35188,5.76174,0,0,0
31,industri logam dasar dan barang logam lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Industri barang perhiasan,157.4935,0.1474296,0.0633895,0.0492739,0,0,0,0.22996665,0.16344035,152.652372,0,0,2.478072,1.709556,0,0,0
33,Industri pengolahan lainnya,404.2775,0.378444,0.1627175,0.1264835,0,0,0,0.59031225,0.41954275,391.85058,0,0,6.36108,4.38834,0,0,0
34,Listrik dan air minum,229019.6727,260.8530456,112.1575595,87.24122847,17327.28478,0,0,406.8891257,289.296859,204864.739,0,0,3376.928007,2294.283012,0,0,0
35,Konstruksi,15505.458,14.5146528,6.240786,4.8510852,0,0,0,22.6405422,16.0909338,15028.8421,0,0,243.969696,168.308208,0,0,0
36,Perdagangan,26879.0915,25.1615064,10.8185555,8.4094751,0,0,0,39.24793485,27.89402815,26052.86615,0,0,422.927448,291.766404,0,0,0
37,"Restoran, Rumah makan, warung",3161497.327,43.53886,0,0,7.5067,0,0,17.26541,18.01608,0,0,0,2212987.7,948423.3,0,0,0
38,Hotel Bintang,4262.625,0,0,0,0,0,0,0,0,0,0,0,2983.8375,1278.7875,0,0,0
39,Hotel Non Bintang,4857.075,0,0,0,0,0,0,0,0,0,0,0,3399.9525,1457.1225,0,0,0
40,Angkutan darat,493.78464,2.45664,0,0,0,0,0,0,0,0,0,0,343.9296,147.3984,0,0,0
41,Angkutan laut ,135812071.1,679.05696,0,0,0,0,0,0,0,0,0,0,95067974.4,40743417.6,0,0,0
42,Angkutan Udara,660361.6998,913.78464,0,0,0,0,0,0,0,0,0,329723.9576,230730.6216,98993.336,0,0,0
43,Travel Biro,1054.4955,0.9871128,0.4244235,0.3299127,0,0,0,1.53973845,1.09431255,1022.081796,0,0,16.591896,11.446308,0,0,0
