ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1,Tanaman Pangan ,9808369.082,0,0,3009652.695,61883.4726,0,0,3009652.695,3679542.379,46284.92534,0,0,195.315144,1157.599512,0,0,0
2,Tanaman Hortikultura ,74788.7421,0,0,0,21307.44663,0,0,0,49717.37547,3657.024672,0,0,15.432072,91.463256,0,0,0
3,Perkebunan ,44036.685,0,595,0,1322.91,0,0,0,36253.415,5698.783776,0,0,24.047976,142.528248,0,0,0
4,Peternakan ,7560251.017,0,0,0,2629.46007,0,0,0,47373.80683,0,0,0,0,7510247.75,0,0,0
5,"Jasa Pertanian, dan Perburuan  ",563.16,0,0,0,0,0,0,0,0,547.166256,0,0,2.308956,13.684788,0,0,0
6,Kehutanan dan Penebangan Kayu,7788.76266,0,0,0,2113.982558,0,0,0,5303.500102,360.735648,0,0,1.522248,9.022104,0,0,0
7,Perikanan ,6792.625825,0,0,0,1700.232913,0,0,0,1700.232913,3295.822656,0,0,13.907856,82.429488,0,0,0
8,"Pertambangan Minyak Bumi, Gas Alam dan Panas, Batubara dan Lignit",50.0075,0.006889,0.0027805,0.00159775,0,0,0,0.17191375,0.024319,48.38568,0,0,0.20418,1.21014,0,0,0
9,Pertambangan Bijih Logam,70.854,0.0097608,0.0039396,0.0022638,0,0,0,0.243579,0.0344568,68.556096,0,0,0.289296,1.714608,0,0,0
10,Pertambangan dan Penggalian Lainnya,558.638,0.0769576,0.0310612,0.0178486,0,0,0,1.920463,0.2716696,540.520512,0,0,2.280912,13.518576,0,0,0
11,Industri Batubara dan Pengilangan Migas,1436.7215,0.1979218,0.0798841,0.04590355,0,0,0,4.93910275,0.6986878,1390.126416,0,0,5.866116,34.767468,0,0,0
12,"Industri Makanan, Minuman dan Tembakau",14638.822,2.0166344,0.8139428,0.4677134,0,0,0,50.324747,7.1189624,14164.06253,0,0,59.770128,354.247344,0,0,0
13,Industri Tekstil ,15089.3715,2.0787018,0.8389941,0.48210855,0,0,0,51.87362775,7.3380678,14600.00002,0,0,61.609716,365.150268,0,0,0
14,Industri Pakaian Jadi,4923.9915,0.6783258,0.2737821,0.15732255,0,0,0,16.92749775,2.3945718,4764.298896,0,0,20.104596,119.156508,0,0,0
15,"Industri Kulit, Barang dari Kulit",795.4205,0.1095766,0.0442267,0.02541385,0,0,0,2.73446425,0.3868186,769.623792,0,0,3.247692,19.248516,0,0,0
16,Industri Alas Kaki ,28237.1265,3.8899278,1.5700311,0.90218205,0,0,0,97.07244525,13.7319138,27321.35314,0,0,115.291836,683.315028,0,0,0
17,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",1194.878,0.1646056,0.0664372,0.0381766,0,0,0,4.107703,0.5810776,1156.126272,0,0,4.878672,28.915056,0,0,0
18,Industri Kertas dan Barang dari Kertas,6459.4025,0.889843,0.3591535,0.20637925,0,0,0,22.20587125,3.141253,6249.91416,0,0,26.37366,156.31218,0,0,0
19,Industri Percetakan dan Reproduksi Media Rekaman ,115.8005,0.0159526,0.0064387,0.00369985,0,0,0,0.39809425,0.0563146,112.044912,0,0,0.472812,2.802276,0,0,0
20,Industri Kimia,3764.902,0.5186504,0.2093348,0.1202894,0,0,0,12.942827,1.8308984,3642.800448,0,0,15.372048,91.107504,0,0,0
21,"Industri Farmasi, Produk Obat Kimia dan Obat Tradisional",817.5925,0.112631,0.0454595,0.02612225,0,0,0,2.81068625,0.397601,791.07672,0,0,3.33822,19.78506,0,0,0
22,"Industri Karet, Barang dari Karet",8480.067,1.1682084,0.4715058,0.2709399,0,0,0,29.1524295,4.1239164,8205.045408,0,0,34.624008,205.210584,0,0,0
23,Industri Barang dari Plastik,4079.5275,0.561993,0.2268285,0.13034175,0,0,0,14.02443375,1.983903,3947.22216,0,0,16.65666,98.72118,0,0,0
24,Industri Barang Galian bukan Logam,7637.049,1.0520748,0.4246326,0.2440053,0,0,0,26.2543365,3.7139508,7389.367776,0,0,31.181976,184.810248,0,0,0
25,Industri Besi Dan Baja Dasar (24101),2212.7415,0.3048258,0.1230321,0.07069755,0,0,0,7.60687275,1.0760718,2140.978896,0,0,9.034596,53.546508,0,0,0
26,Industri Barang-Barang Dari Besi Dan Baja Dasar (24102-3),6315.5255,0.8700226,0.3511537,0.20178235,0,0,0,21.71125675,3.0712846,6110.703312,0,0,25.786212,152.830476,0,0,0
27,Industri Logam Dasar Bukan Besi (242),427.293,0.0588636,0.0237582,0.0136521,0,0,0,1.4689305,0.2077956,413.435232,0,0,1.744632,10.340136,0,0,0
28,Industri Barang-Barang Dari Logam Dasar Bukan Besi (243),51.9355,0.0071546,0.0028877,0.00165935,0,0,0,0.17854175,0.0252566,50.251152,0,0,0.212052,1.256796,0,0,0
29,Industri Barang dari Logam,11380.1405,1.5677206,0.6327547,0.36359785,0,0,0,39.12218425,5.5342426,11011.06507,0,0,46.464972,275.389956,0,0,0
