Year,Energi,Limbah,Kehutanan,Pertanian
2010,13014544.44,1044.162724,0,2778835.175
2011,13555715.46,182.691635,40998.64078,2642569.421
2012,14474460.89,132.672939,40668.25277,2656081.04
2013,15496334.92,103.744133,40347.35555,2674574.793
2014,16635296.69,82.417877,40035.547,2696947.435
2015,17907572.79,67.708106,39732.4431,2722394.208
2016,19332070,57.480818,39437.6767,2750315.133
2017,20930871.71,50.30095,39150.8969,2780254.342
2018,22729836.39,45.202515,38871.7685,2811859.65
2019,24759321.18,63.494489,38599.971,2844854.94
2020,27055058.98,41.626223,38335.1982,2879020.873
2021,29584631.8,142.945978,38077.1572,2914181.15
2022,32386042.26,76.457757,37825.5688,2950192.557
2023,35491196.96,76.457758,37580.1652,2986937.629
2024,38935981.25,76.457758,37340.6913,3024319.174
2025,42760776.66,76.457758,37106.903,3062256.125
2026,0,76.457757,36878.5666,3100680.365
2027,0,76.457758,36655.4596,3139534.269
2028,0,76.457758,36437.3686,3178768.783
2029,0,76.457758,36224.0901,3218341.901
2030,0,76.457758,0,3258217.461
