Padi,Pertanian Kehutanan dan Perikanan
Jagung,Pertanian Kehutanan dan Perikanan
Ketela pohon,Pertanian Kehutanan dan Perikanan
Kacang tanah,Pertanian Kehutanan dan Perikanan
Kedelai,Pertanian Kehutanan dan Perikanan
Sayur-sayuran,Pertanian Kehutanan dan Perikanan
Buah-buahan,Pertanian Kehutanan dan Perikanan
Tanaman Pangan & Hortikultura lainnya,Pertanian Kehutanan dan Perikanan
Tebu,Pertanian Kehutanan dan Perikanan
Kelapa,Pertanian Kehutanan dan Perikanan
Tembakau,Pertanian Kehutanan dan Perikanan
Tanaman perkebunan lainnya,Pertanian Kehutanan dan Perikanan
Ternak sapi & hasilnya kecuali susu segar,Pertanian Kehutanan dan Perikanan
Susu segar,Pertanian Kehutanan dan Perikanan
Unggas dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Hasil pemeliharaan hewan lainnya,Pertanian Kehutanan dan Perikanan
Jasa pertanian dan perburuan,Pertanian Kehutanan dan Perikanan
Kehutanan dan penebangan kayu,Pertanian Kehutanan dan Perikanan
Ikan laut dan hasil lainnya,Pertanian Kehutanan dan Perikanan
Ikan darat dan hasil perairan darat,Pertanian Kehutanan dan Perikanan
Pertambangan garam kasar dan penggalian lainnya ,Pertambangan dan Penggalian
Ind. Daging jeroan dan sejenisnya,Industri Pengolahan
Ind. Pengolahan & pengawetan makanan,Industri Pengolahan
Ind. Beras,Industri Pengolahan
Ind. Susu dan makanan dari susu,Industri Pengolahan
Ind. Tepung terigu & tepung lainnya,Industri Pengolahan
Ind. Roti biskuit dan sejenisnya,Industri Pengolahan
Ind. Mie makaroni dan sejenisnya,Industri Pengolahan
Ind. Gula,Industri Pengolahan
Ind. Biji-bijian kupasan coklat & kembang gula,Industri Pengolahan
Ind. Kopi giling dan Teh,Industri Pengolahan
Ind. pengolahan kedele,Industri Pengolahan
Ind. Makanan & minuman lainnya,Industri Pengolahan
Ind. pengolahan tembakau,Industri Pengolahan
Ind. Tekstil selain tenun dan batik,Industri Pengolahan
Ind. Tenun,Industri Pengolahan
Ind. Batik,Industri Pengolahan
Ind. Pakaian jadi,Industri Pengolahan
Ind. kulit barang dari kulit dan alas kaki ,Industri Pengolahan
Ind. Kayu gergajian dan awetan,Industri Pengolahan
Ind. Perabot rumah tangga dan lainnya dari kayu/bambu selain furnitur,Industri Pengolahan
Ind. kertas & barang dari kertas percetakan media rekam,Industri Pengolahan
Ind. Pupuk dan Pestisida,Industri Pengolahan
Ind. Kilang Minyak LPG Brg Kimia kec. Pupuk & Pestisida,Industri Pengolahan
Ind. Ban & barang lainnya dari karet,Industri Pengolahan
Ind. Barang-barang plastik,Industri Pengolahan
Ind. Kaca dan barang-barang dari kaca,Industri Pengolahan
Ind. Barang galian bukan logam lainnya,Industri Pengolahan
Ind. Barang dari Semen,Industri Pengolahan
Ind. Barang-barang logam lainnya,Industri Pengolahan
Ind. Alat listrik & perlengkapannya,Industri Pengolahan
Ind. Mesin dan perlengkapan serta Alat Angkutan,Industri Pengolahan
Ind. Furnitur,Industri Pengolahan
Ind. Barang-barang perhiasan,Industri Pengolahan
Ind. Pengolahan lainnya,Industri Pengolahan
Jasa reparasi mesin,Jasa lainnya
Listrik,Pengadaan Listrik Gas
Pengadaan air,Pengadaan Listrik Gas
Konstruksi gedung & bangunan sipil,Konstruksi
Konstruksi khusus,Konstruksi
Perdagangan besar dan eceran selain mobil/motor,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Perdagangan mobil motor dan reparasi mobil/motor,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Angkutan Rel,Transportasi dan Pergudangan
Angkutan Darat Laut Sungai Danau & Penyebrangan,Transportasi dan Pergudangan
Angkutan udara,Transportasi dan Pergudangan
Pergudangan Jasa penunjang angkutan pos & kurir,Transportasi dan Pergudangan
Penyediaan akomodasi,Penyediaan Akomodasi dan Makan Minum
Penyediaan makan minum,Penyediaan Akomodasi dan Makan Minum
Informasi dan komunikasi,Informasi dan komunikasi
Bank,Jasa Keuangan dan Asuransi
Asuransi dan dana pensiun,Jasa Keuangan dan Asuransi
Jasa keuangan lainnya,Jasa Keuangan dan Asuransi
Jasa penunjang keuangan,Jasa Keuangan dan Asuransi
Real Estate,Real estat
Jasa hukum akuntan konsultan arsitek penelitian,Jasa perusahaan
Jasa Periklanan,Jasa perusahaan
Jasa Agen Perjalanan Penyelenggara Tur & Jasa Reservasi Lainnya,Jasa perusahaan
Jasa perusahaan lainnya,Jasa perusahaan
Adm. Pemerintahan pertahanan & jaminan sosial wajib,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib 
Jasa pendidikan,Jasa Pendidikan
Jasa kesehatan dan kegiatan sosial,Jasa Kesehatan dan Kegiatan Sosial 
Kebudayaan hiburan dan rekreasi,Jasa lainnya
Jasa lainnya,Jasa lainnya
