ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,P a d i,12.15302425,0,0,0,0,2.118433721,4.606354026,0,5.348116887,0,0,0,0,0,0.00E+00,4.66E-04,0.00428352,0,0,0.075370239,0,0,0,0,0,0,0
2,J a g u n g,4.465774395,0,0,0,0,0.778443856,1.692659986,0,1.965229638,0,0,0,0,0,0.00E+00,1.71E-04,0.001574031,0,0,0.027695697,0,0,0,0,0,0,0
3,Ketela pohon,7.072701801,0,0,0,0,1.232865966,2.680762231,0,3.112446346,0,0,0,0,0,0,0.000271118,0.002492882,0,0,0.043863257,0,0,0,0,0,0,0
4,Kacang tanah,3.456554932,0,0,0,0,0.602523485,1.310136094,0,1.521107785,0,0,0,0,0,0.00E+00,1.32E-04,1.22E-03,0,0.00E+00,0.021436752,0,0,0,0,0,0,0
5,K e d e l e,1.323773125,0,0,0,0,0.230751257,0.501748991,0,0.582545814,0,0,0,0,0,0,5.07E-05,4.67E-04,0,0.00E+00,0.008209734,0,0,0,0,0,0,0
6,Sayur-sayuran,4.117271404,0,0,0,0,0.717695151,1.560567091,0,1.811865776,0,0,0,0,0,0.00E+00,0.000157827,0.001451196,0,0,0.025534363,0,0,0,0,0,0,0
7,Buah-buahan,7.560462235,0,0,0,0,1.317889096,2.865637797,0,3.327092492,0,0,0,0,0,0.00E+00,2.90E-04,0.002664801,0,0,0.046888234,0,0,0,0,0,0,0
8,Tanaman Pangan & Hortikultura lainnya,5.658346984,0,0,0,0,0.986325116,2.144680111,0,2.490038728,0,0,0,0,0,0,0.000216901,0.001994371,0,0,0.035091756,0,0,0,0,0,0,0
9,T e b u,0.034041265,0,0,0,0,0.005933845,0.012902642,0,0.014980359,0,0,0,0,0,0,1.3049E-06,1.19984E-05,0,0,0.000211116,0,0,0,0,0,0,0
10,K e l a p a,0.666926308,0,0,0,0,0.116254123,0.252784708,0,0.293490721,0,0,0,0,0,0.00E+00,2.55653E-05,0.000235068,0,0,0.004136122,0,0,0,0,0,0,0
11,T e m b a k a u,0.020067046,0,0,0,0,0.003497953,0.007606001,0,0.008830798,0,0,0,0,0,0.00E+00,7.69E-07,7.07294E-06,0,0.00E+00,0.000124451,0,0,0,0,0,0,0
12,Tanaman perkebunan lainnya,0.475374194,0,0,0,0,0.082864043,0.180180816,0,0.209195399,0,0,0,0,0,0.00E+00,1.82E-05,0.000167553,0,0,0.002948161,0,0,0,0,0,0,0
13,Ternak sapi & hasilnya kecuali susu segar,1.082166226,0,0,0,0,0.188635962,0.410172863,0,0.476223148,0,0,0,0,0,0.00E+00,4.15E-05,0.000381426,0,0,0.006711344,0,0,0,0,0,0,0
14,Susu segar,0.119825588,0,0,0,0,0.020887193,0.045417426,0,0.052731011,0,0,0,0,0,0,4.59327E-06,4.22344E-05,0,0,0.000743131,0,0,0,0,0,0,0
15,Unggas dan hasil-hasilnya,7.246059013,0,0,0,0,1.263084434,2.746469719,0,3.188734735,0,0,0,0,0,0,0.000277763,0.002553985,0,0,0.044938378,0,0,0,0,0,0,0
16,Hasil pemeliharaan hewan lainnya,2.848367149,0,0,0,0,0.496508268,1.079615017,0,1.253465815,0,0,0,0,0,0,0.000109186,0.001003951,0,0,0.017664913,0,0,0,0,0,0,0
17,Jasa pertanian dan perburuan,1.131535672,0,0,0,0,0.197241713,0.428885337,0,0.497948898,0,0,0,0,0,0,4.33751E-05,0.000398827,0,0,0.007017522,0,0,0,0,0,0,0
18,Kehutanan dan penebangan kayu,3.38247151,0,0,0,0,0.589609759,1.282056296,0,1.488506287,0,0,0,0,0,0,0.00012966,0.001192204,0,0,0.020977304,0,0,0,0,0,0,0
19,Ikan laut dan hasil lainnya,0.136591309,0,0,0,0,0.023809681,0.051772128,0,0.060109012,0,0,0,0,0,0,5.23595E-06,4.81437E-05,0,0,0.000847108,0,0,0,0,0,0,0
20,Ikan darat dan hasil perairan darat,3.022301049,0,0,0,0,0.526827259,1.145541086,0,1.330007983,0,0,0,0,0,0,0.000115854,0.001065256,0,0,0.01874361,0,0,0,0,0,0,0
21,"Pertambangan, Garam kasar dan penggalian lainnya",63.79094298,36.74828597,0.004389036,0,0,0.134046484,0.291472683,0,5.232277018,0.254450695,0,0.070240384,20.99852458,0,0,2.94779E-05,0.000271045,0,0,0.056955604,0,0,0,0,0,0,0
22,"Ind. Daging, jeroan dan sejenisnya",170.5270683,18.56164949,0.012364178,0,0,0.974178946,2.118269297,0,12.22509282,1.432868297,0,3.869000746,19.50089024,0,0,0.00021423,0.001969811,0,105.5048866,6.325683702,0,0,0,0,0,0,0
