Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,9987,0,0,0,0,0,0,0,0,0,9987,276.9102834,0.003611278
Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,15314.6,0,0,0,0,0,0,0,0,0,0,16209.96364,53.77976284,0.018594355
Ketela pohon,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,1277.636207,0.000782695
Kacang tanah,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,531.5985379,0.001881119
Kedelai,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,196.5983349,0.005086513
Sayur-sayuran,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,608.4700985,0.001643466
Buah-buahan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,1043.735709,0.000958097
Tanaman Pangan & Hortikultura lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,828.6253427,0.001206818
Tebu,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,6.958066809,0.14371808
Kelapa,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,118.829932,0.008415388
Tembakau,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,4.309980709,0.2320196
Tanaman perkebunan lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,895.3636364,0,0,0,0,0,0,0,0,0,0,0,895.3636364,78.99472028,0.012659074
Ternak sapi & hasilnya kecuali susu segar,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,7657.3,0,0,0,0,150.8,0,0,0,0,0,7808.1,21.34283629,0.046854129
Susu segar,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,7657.3,0,0,0,0,0,0,0,0,0,0,7657.3,3.019079832,0.33122675
Unggas dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,7657.3,0,0,0,0,0,0,0,0,0,0,7657.3,151.6861035,0.006592562
Hasil pemeliharaan hewan lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,7657.3,0,0,0,0,0,0,0,0,0,0,7657.3,56.59370796,0.017669809
Jasa pertanian dan perburuan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,7657.3,0,0,0,0,0,0,0,0,0,0,7657.3,22.30081099,0.044841419
Kehutanan dan penebangan kayu,Pertanian Kehutanan dan Perikanan,0,50.6,0,0,0,0,7114.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7165.4,64.18078544,0.015580987
Ikan laut dan hasil lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,0,0,0,0,0,0,0,0,27.7,676.7870036,0.00147757
Ikan darat dan hasil perairan darat,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.94,0,0,0,0,84.6,0,0,0,145.54,2805.970867,0.000356383
"Pertambangan, garam kasar dan penggalian lainnya ",Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,5.6,109153.0357,9.16E-06
"Ind. Daging, jeroan dan sejenisnya",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,236.0698665,0.004236034
Ind. Pengolahan & pengawetan makanan,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,115.4752797,0.008659862
Ind. Beras,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,2602.190343,0.000384292
Ind. Susu dan makanan dari susu,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,1613.40065,0.000619809
Ind. Tepung terigu & tepung lainnya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,26.67051606,0.037494588
"Ind. Roti, biskuit dan sejenisnya",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,669.6178997,0.001493389
"Ind. Mie, makaroni dan sejenisnya",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,138.2696211,0.007232247
Ind. Gula,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,552.3114832,0.001810573
"Ind. Biji-bijian kupasan, coklat & kembang gula",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,199.9474269,0.005001315
Ind. Kopi giling dan Teh,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.33871,0,0,0,0,0,0,0,1117.33871,51.23245038,0.019518879
