ID,Sektor,Total,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1, Tanaman Pangan  ,13758.7674,0,0,6871.8825,4.8024,0,0,0,6871.8825,9.91032,0,0,0.04182,0.24786,0,0,0
2, Tanaman Hortikultura Semusim ,6502.875,0,0,0,1947.3345,0,0,0,4543.7805,11.426016,0,0,0.048216,0.285768,0,0,0
3, Perkebunan Semusim ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4, Tanaman Hortikultura Tahunan dan Lainnya ,14368.1733,0,0,0,4256.27199,0,0,0,9931.30131,175.47096,0,0,0.74046,4.38858,0,0,0
5, Perkebunan Tahunan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6, Peternakan  ,23004.73748,0,0,0,7.73748,0,0,0,0,0,0,0,0,22997,0,0,0
7, Jasa Pertanian dan Perburuan   ,4.097,0.0005644,0.0002278,0.0001309,0,0,0,0.0140845,0.0019924,3.964128,0,0,0.016728,0.099144,0,0,0
8, Kehutanan dan Penebangan Kayu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9, Perikanan  ,9061.256983,0,0,0,4317.808491,0,0,0,4317.808491,413.551824,0,0,1.745124,10.343052,0,0,0
10, Pertambangan Minyak & Gas Bumi ,506.341,0.0697532,0.0281534,0.0161777,0,0,0,1.7406785,0.2462372,489.919584,0,0,2.067384,12.253032,0,0,0
11, Pertambangan Lainnya ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12, Jasa Pertambangan dan Penggalian Lainnya ,152.4325,0.020999,0.0084755,0.00487025,0,0,0,0.52402625,0.074129,147.48888,0,0,0.62238,3.68874,0,0,0
13, Industri Batubara dan Pengilangan Migas ,20.1235,0.0027722,0.0011189,0.00064295,0,0,0,0.06917975,0.0097862,19.470864,0,0,0.082164,0.486972,0,0,0
14," Industri Pengolahan dan pengawetan hewan, ikan, sayur-sayuran dan buah-buahan   ",182.678,0.0251656,0.0101572,0.0058366,0,0,0,0.628003,0.0888376,176.753472,0,0,0.745872,4.420656,0,0,0
15, Industri minyak dari nabati dan hewani ,1353.938,0.1865176,0.0752812,0.0432586,0,0,0,4.654513,0.6584296,1310.027712,0,0,5.528112,32.764176,0,0,0
16, Industri Makanan dan Minuman Terbuat dari Susu ,315.469,0.0434588,0.0175406,0.0100793,0,0,0,1.0845065,0.1534148,305.237856,0,0,1.288056,7.634088,0,0,0
17, Industri tepung ,1188.7325,0.163759,0.0660955,0.03798025,0,0,0,4.08657625,0.578089,1150.18008,0,0,4.85358,28.76634,0,0,0
18," Industri roti, biskuit, mie dan sejenisnya ",460.6715,0.0634618,0.0256141,0.01471855,0,0,0,1.58367775,0.2240278,445.731216,0,0,1.880916,11.147868,0,0,0
19, Industri makanan lainnya ,205.814,0.0283528,0.0114436,0.0065758,0,0,0,0.707539,0.1000888,199.139136,0,0,0.840336,4.980528,0,0,0
20, Makanan hewan yang diolah ,141.467,0.0194884,0.0078658,0.0045199,0,0,0,0.4863295,0.0687964,136.879008,0,0,0.577608,3.423384,0,0,0
21, Industri Minuman ,157.855,0.021746,0.008777,0.0050435,0,0,0,0.5426675,0.076766,152.73552,0,0,0.64452,3.81996,0,0,0
22, Pengolahan Tembakau ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23, Industri Tekstil  ,816.749,0.1125148,0.0454126,0.0260953,0,0,0,2.8077865,0.3971908,790.260576,0,0,3.334776,19.764648,0,0,0
24, Industri Pakaian Jadi ,4136.765,0.569878,0.230011,0.1321705,0,0,0,14.2212025,2.011738,4002.60336,0,0,16.89036,100.10628,0,0,0
25," Industri Kulit, Barang dari Kulit dan Alas Kaki  ",143.154,0.0197208,0.0079596,0.0045738,0,0,0,0.492129,0.0696168,138.511296,0,0,0.584496,3.464208,0,0,0
26," Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  ",145.323,0.0200196,0.0080802,0.0046431,0,0,0,0.4995855,0.0706716,140.609952,0,0,0.593352,3.516696,0,0,0
27," Industri Kertas dan Barang dari Kertas,  ",1302.846,0.1794792,0.0724404,0.0416262,0,0,0,4.478871,0.6335832,1260.592704,0,0,5.319504,31.527792,0,0,0
28, Industri percetakan dan Reproduksi Media Rekaman  ,1064.256,0.1466112,0.0591744,0.0340032,0,0,0,3.658656,0.5175552,1029.740544,0,0,4.345344,25.754112,0,0,0
29, Industri Bahan Kimia dan Barang dari Bahan Kimia ,5425.9945,0.7474814,0.3016943,0.17336165,0,0,0,18.65326325,2.6386994,5250.021168,0,0,22.154268,131.304564,0,0,0
30," Industri Farmasi, Produk Obat Kimia dan Obat Tradisional ",2935.2595,0.4043594,0.1632053,0.09378215,0,0,0,10.09071575,1.4274374,2840.064528,0,0,11.984628,71.030844,0,0,0
31," Industri Karet, Barang dari Karet dan Plastik ",1400.5715,0.1929418,0.0778741,0.04474855,0,0,0,4.81482775,0.6811078,1355.148816,0,0,5.718516,33.892668,0,0,0
32, Industri Barang Galian bukan Logam ,826.2685,0.1138262,0.0459419,0.02639945,0,0,0,2.84051225,0.4018202,799.471344,0,0,3.373644,19.995012,0,0,0
33, Industri Logam Dasar  ,2247.6865,0.3096398,0.1249751,0.07181405,0,0,0,7.72700525,1.0930658,2174.790576,0,0,9.177276,54.392148,0,0,0
34," Industri Barang Logam, Bukan Mesin dan Peralatannya ",1862.3275,0.256553,0.1035485,0.05950175,0,0,0,6.40223375,0.905663,1801.92936,0,0,7.60386,45.06678,0,0,0
35," Industri Komputer, Barang Elektronik dan Optik ",185.811,0.0255972,0.0103314,0.0059367,0,0,0,0.6387735,0.0903612,179.784864,0,0,0.758664,4.496472,0,0,0
36, Industri Peralatan Listrik ,1638.8,0.22576,0.09112,0.05236,0,0,0,5.6338,0.79696,1585.6512,0,0,6.6912,39.6576,0,0,0
37, Industri Mesin dan Perlengkapan YTDL ,482.723,0.0664996,0.0268402,0.0154231,0,0,0,1.6594855,0.2347516,467.067552,0,0,1.970952,11.681496,0,0,0
38," Industri Kendaraan Bermotor, Trailer, Semi Trailer dan alat angkutan lainnya . ",25531.058,3.5171416,1.4195692,0.8157226,0,0,0,87.769633,12.4159336,24703.04659,0,0,104.242992,617.830416,0,0,0
39, Industri Furnitur ,777.3455,0.1070866,0.0432217,0.02483635,0,0,0,2.67232675,0.3780286,752.134992,0,0,3.173892,18.811116,0,0,0
40, Industri Pengolahan Lainnya ,746.4975,0.102837,0.0415065,0.02385075,0,0,0,2.56627875,0.363027,722.28744,0,0,3.04794,18.06462,0,0,0
41, Jasa Reparasi dan Pemasangan Mesin dan Peralatan ,6.266,0.0008632,0.0003484,0.0002002,0,0,0,0.021541,0.0030472,6.062784,0,0,0.025584,0.151632,0,0,0
42, Ketenagalistrikan  ,880.8080855,0,0,0.861586947,114.8454372,0,0,0,1.72590909,0,0,0,0,711.7483154,0,0,51.6268369
43, Gas ,83198.73803,0,34048.60897,8947.865377,9000.483149,0,0,0,0,0,0,0,0,0,0,25686.39519,5515.385339
44, Pengadaan Air ,694277.7543,2213.351645,126.9410526,5.322476,53708.8673,0,0,0,154.351804,602918.3361,0,5293.791792,1.076988,29855.71516,0,0,0
45, Bangunan Gedung dan Sipil ,28914.5775,3.983253,1.6076985,0.92382675,0,0,0,99.40135875,14.061363,27976.83336,0,0,118.05786,699.70878,0,0,0
46, Instalasi Gedung & Instalasi Bangunan Sipil ,34273.4535,4.7214882,1.9056609,1.09504395,0,0,0,117.8238848,16.6674222,33161.91278,0,0,139.938084,829.389132,0,0,0
47, Konstruksi Khusus ,22329.132,3.0760464,1.2415368,0.7134204,0,0,0,76.762182,10.8588144,21604.96397,0,0,91.169568,540.346464,0,0,0
48," Perdagangan Mobil, Sepeda Motor dan Reparasinya ",14256.837,1.9640124,0.7927038,0.4555089,0,0,0,49.0115745,6.9332004,13794.46589,0,0,58.210488,345.003624,0,0,0
49, Perdagangan Besar dan Eceran ,60395.6845,8.3200694,3.3581003,1.92965465,0,0,0,207.6258283,29.3708474,58436.95973,0,0,246.594828,1461.525444,0,0,0
50, Angkutan Rel  ,3843657.518,0,19281.23045,0,0,0,0,0,0,0,0,0,2677063.402,1147312.886,0,0,0
51, Angkutan Darat ,2683723.421,0,13462.56515,0,0,0,0,0,0,0,0,0,1869182.599,801078.2568,0,0,0
52, Angkutan Laut  ,9528336.038,0,48.038452,0,0,0,0,0,0,0,0,0,6669801.6,2858486.4,0,0,0
53, Angkutan Sungai Danau dan Penyeberangan ,8.194,0.0011288,0.0004556,0.0002618,0,0,0,0.028169,0.0039848,7.928256,0,0,0.033456,0.198288,0,0,0
54, Angkutan Udara ,4904178.657,0,6839.197211,0,0,0,0,0,0,0,0,2448669.73,1714068.811,734600.9189,0,0,0
55," Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir ",5350.5615,0.7370898,0.2975001,0.17095155,0,0,0,18.39394275,2.6020158,5177.034576,0,0,21.846276,129.479148,0,0,0
56, Penyediaan Akomodasi  ,8710.2,0,0,0,0,0,0,0,0,0,0,0,6097.14,2613.06,0,0,0
57, Penyediaan Makan Minum ,6336.941688,72.19584418,0,0,12.99525195,0,0,28.87833767,30.32225455,0,0,0,4334.785,1857.765,0,0,0
58," Penerbitan, Produksi Gambar Bergerak, Video dan Program Televisi, Perekaman Suara dan Penerbitan Musik, penyiaran dan pemrograman, kegiatan konsultasi dan pemrograman komputer, serta kegiatan jasa informasi ",5164.389,0.7114428,0.2871486,0.1650033,0,0,0,17.7539265,2.5114788,4996.899936,0,0,21.086136,124.973928,0,0,0
59, Telekomunikasi ,20329.796,2.8006192,1.1303704,0.6495412,0,0,0,69.888946,9.8865232,19670.4695,0,0,83.006304,491.964192,0,0,0
60, Bank ,31201.065,4.298238,1.734831,0.9968805,0,0,0,107.2617525,15.173298,30189.16656,0,0,127.39356,755.03988,0,0,0
61, Asuransi dan Dana Pensiun ,12701.5435,1.7497562,0.7062269,0.40581695,0,0,0,43.66484975,6.1768502,12289.61294,0,0,51.860244,307.366812,0,0,0
62, Jasa Keuangan Lainnya ,5104.7415,0.7032258,0.2838321,0.16309755,0,0,0,17.54887275,2.4824718,4939.186896,0,0,20.842596,123.530508,0,0,0
63, Jasa Penunjang Keuangan ,1960.6555,0.2700986,0.1090157,0.06264335,0,0,0,6.74026175,0.9534806,1897.068432,0,0,8.005332,47.446236,0,0,0
64, Real Estate ,20358.716,2.8046032,1.1319784,0.6504652,0,0,0,69.988366,9.9005872,19698.45158,0,0,83.124384,492.664032,0,0,0
65, Jasa Perusahaan ,22969.951,3.1643252,1.2771674,0.7338947,0,0,0,78.9651635,11.1704492,22225.00022,0,0,93.786024,555.853752,0,0,0
66," Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib ",96234.433,13.2571916,5.3507942,3.0747101,0,0,0,330.8308205,46.7994836,93113.40259,0,0,392.923992,2328.793416,0,0,0
67, Jasa Pendidikan  ,59240.0895,8.1608754,3.2938473,1.89273315,0,0,0,203.6531708,28.8088734,57318.84245,0,0,241.876548,1433.561004,0,0,0
68, Jasa Kesehatan dan Kegiatan Sosial  ,17234.7535,2.3742482,0.9582809,0.55065395,0,0,0,59.24893475,8.3813822,16675.80398,0,0,70.369284,417.066732,0,0,0
69," Kesenian, Hiburan Dan Rekreasi Swasta ",6967.4305,0.9598286,0.3874007,0.22261085,0,0,0,23.95234925,3.3883106,6741.466032,0,0,28.447932,168.606036,0,0,0
70, Reparasi Barang Pribadi Lainnya ,328.8445,0.0453014,0.0182843,0.01050665,0,0,0,1.13048825,0.1599194,318.179568,0,0,1.342668,7.957764,0,0,0
71, Jasa Perorangan Yang Melayani Rumah Tangga; Kegiatan Yang Menghasilkan Barang dan Jasa Oleh Rumah Tangga Yang Digunakan Sendiri  ,12244.3665,1.6867758,0.6808071,0.39121005,0,0,0,42.09318525,5.9545218,11847.2629,0,0,49.993596,296.303508,0,0,0
72, Kegiatan ekonomi Lainnya ,956.6495,0.1317874,0.0531913,0.03056515,0,0,0,3.28873075,0.4652254,925.623888,0,0,3.905988,23.150124,0,0,0
