ID,Sektor,TOTAL,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,27.14181531,0,0,0,0,4.731179302,10.28754717,0,11.94415462,0,0,0,0,0,0,0.001040426,0.00956655,0,0,0.168327246,0,0,0,0,0,0,0
2,Jagung,42.93402701,0,0,0,0,7.483971782,16.27326039,0,18.89374941,0,0,0,0,0,0,0.001645788,0.015132757,0,0,0.266266881,0,0,0,0,0,0,0
3,Kedelai,0.472166491,0,0,0,0,0.082304898,0.178965003,0,0.207783802,0,0,0,0,0,0,1.80995E-05,0.000166422,0,0,0.002928267,0,0,0,0,0,0,0
4,Tanaman Pangan Lainnya,1.277095532,0,0,0,0,0.222614732,0.484056809,0,0.562004653,0,0,0,0,0,0,4.89548E-05,0.000450132,0,0,0.00792025,0,0,0,0,0,0,0
5,Bawang Merah,0.089295373,0,0,0,0,0.015565371,0.033845576,0,0.039295741,0,0,0,0,0,0,3.42296E-06,3.14735E-05,0,0,0.000553789,0,0,0,0,0,0,0
6,Tomat,0.237511172,0,0,0,0,0.041401355,0.090023727,0,0.104520281,0,0,0,0,0,0,9.1045E-06,8.37145E-05,0,0,0.001472989,0,0,0,0,0,0,0
7,Cabe Rawit,6.434506644,0,0,0,0,1.121620065,2.438867476,0,2.831599191,0,0,0,0,0,0,0.000246654,0.002267941,0,0,0.039905318,0,0,0,0,0,0,0
8,Sayur-sayuran Lainnya,1.09059262,0,0,0,0,0.190104795,0.413366714,0,0.479931306,0,0,0,0,0,0,4.18056E-05,0.000384396,0,0,0.006763603,0,0,0,0,0,0,0
9,Buah-buahan,1.447347066,0,0,0,0,0.252291838,0.548587154,0,0.636926342,0,0,0,0,0,0,5.54811E-05,0.00051014,0,0,0.008976111,0,0,0,0,0,0,0
10,Tebu,88.46603265,0,0,0,0,15.42080578,33.53123117,0,38.9307775,0,0,0,0,0,0,0.003391164,0.031181212,0,0,0.548645823,0,0,0,0,0,0,0
11,Kelapa,358.1761463,0,0,0,0,62.43486481,135.7593056,0,157.6206758,0,0,0,0,0,0,0.01372995,0.126244686,0,0,2.221325414,0,0,0,0,0,0,0
12,Cengkeh,62.22308758,0,0,0,0,10.84631152,23.58438229,0,27.38218393,0,0,0,0,0,0,0.002385195,0.021931483,0,0,0.385893162,0,0,0,0,0,0,0
13,Kakao,106.0212432,0,0,0,0,18.48091241,40.18517288,0,46.65620585,0,0,0,0,0,0,0.004064107,0.037368816,0,0,0.657519169,0,0,0,0,0,0,0
14,"Tanaman Hias, Tanaman Biofarmaka, dan Tanaman Perkebunan Lainnya",9.570920611,0,0,0,0,1.668338723,3.627660718,0,4.21182424,0,0,0,0,0,0,0.000366882,0.003373418,0,0,0.059356631,0,0,0,0,0,0,0
15,Sapi,51.9008936,0,0,0,0,9.047015857,19.67196685,0,22.83975081,0,0,0,0,0,0,0.001989515,0.018293267,0,0,0.321877309,0,0,0,0,0,0,0
16,Ternak Lainnya dan Hasil-hasilnya,1.436360381,0,0,0,0,0.250376713,0.544422877,0,0.63209149,0,0,0,0,0,0,5.50599E-05,0.000506267,0,0,0.008907974,0,0,0,0,0,0,0
17,Ayam,28.83908206,0,0,0,0,5.027035463,10.93086124,0,12.69106179,0,0,0,0,0,0,0.001105487,0.010164778,0,0,0.1788533,0,0,0,0,0,0,0
18,Unggas dan Hasil-hasilnya,76.92758941,0,0,0,0,13.40950171,29.15782145,0,33.85311602,0,0,0,0,0,0,0.002948862,0.027114311,0,0,0.477087073,0,0,0,0,0,0,0
19,Jasa Pertanian dan Perburuan,37.84914564,0,0,0,0,6.597609349,14.34594063,0,16.65607266,0,0,0,0,0,0,0.00145087,0.013340513,0,0,0.234731626,0,0,0,0,0,0,0
20,Kehutanan dan Penebangan Kayu,16.11992521,0,0,0,0,2.809917303,6.109926288,0,7.093809936,0,0,0,0,0,0,0.000617924,0.005681715,0,0,0.099972039,0,0,0,0,0,0,0
21,"Tuna, Cakalang, Tongkol, Selar, dan Layang",1174.321941,0,0,0,0,204.6999288,445.1025925,0,516.7776245,0,0,0,0,0,0,0.045015228,0.41390781,0,0,7.282872406,0,0,0,0,0,0,0
22,Kakap dan Kerapu,8.768036933,0,0,0,0,1.528385422,3.323344164,0,3.858503481,0,0,0,0,0,0,0.000336105,0.003090429,0,0,0.054377332,0,0,0,0,0,0,0
23,Udang,36.25201537,0,0,0,0,6.319208306,13.74058123,0,15.95323201,0,0,0,0,0,0,0.001389647,0.01277758,0,0,0.224826594,0,0,0,0,0,0,0
