Year,Energi,Limbah,Kehutanan,Pertanian
2010,373.3574418,99.74677554,960654,802616.8232
2011,418.121711,119.2302431,989227.7627,856801.2045
2012,467.491333,134.3587162,1957189.422,889826.1633
2013,521.6283854,146.55,2904798.367,922862.4009
2014,580.6377276,156.7628424,3832918.09,955907.3954
2015,644.5597588,165.6417012,4742365.008,988959.3098
2016,713.3656568,173.6255298,5633911.116,1022016.776
2017,786.9557286,181.0125756,6508286.505,1055078.758
2018,865.1613384,188.0069099,7366181.728,1088144.456
2019,947.7506504,194.7491923,8208250.042,1121213.245
2020,1034.43813,201.3373316,9035109.525,1154284.628
2021,1128.132737,217.7343887,9847345.067,1187358.208
2022,1231.071434,227.3412941,10645510.26,1220433.665
2023,1344.208655,236.9481996,11430129.17,1253510.733
2024,1468.600386,246.555105,12201698.03,1286589.195
2025,1605.4152,256.1620105,12960686.81,1319668.871
2026,1755.946521,265.7689159,13707540.71,1352749.609
2027,1921.626237,275.3758213,14442681.59,1385831.281
2028,2104.039825,284.9827268,15166509.27,1418913.778
2029,2304.943145,294.5896322,15879402.83,1451997.007
2030,2526.281106,304.1965377,15912345,1485080.888
