Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
 Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,1078321,0,0,0,0,0,0,0,0,0,1078321,45.59456729,0.021932438
 Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,185.2204824,0.005398971
 Ketela Pohon,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,96.96270554,0.010313244
 Umbi Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,39.98096241,0.025011904
 Bawang Merah,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,147.3420826,0.006786927
 Sayur-Sayuran,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,203.4999592,0.004914006
 Pisang,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,50.83427101,0.019671768
 Buah-Buahan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,157.7738896,0.006338184
 Kacang Tanah,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,22.37464741,0.044693442
 Kacang Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,32.36004261,0.030902308
 Bahan Makanan Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,20084.63636,31878.41667,0,0,0,0,0,0,0,0,0,0,51963.05303,17.21342912,0.058094177
 Karet,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,3659.888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659.888889,183.3773047,0.005453238
 Tebu,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,3659.888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659.888889,75.55066517,0.013236151
