ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,427.0199079,0,0,0,0,74.43524785,161.8531183,0,187.9163847,0,0,0,0,0,0,0.016368934,0.150509727,0,0,2.648278462,0,0,0,0,0,0,0
2,Jagung,122.8669314,0,0,0,0,21.41733985,46.57018469,0,54.06939844,0,0,0,0,0,0,0.004709852,0.043306338,0,0,0.761992221,0,0,0,0,0,0,0
3,Kedelai,15.39432635,0,0,0,0,2.683435774,5.834902957,0,6.774499498,0,0,0,0,0,0,0.00059011,0.005425967,0,0,0.095472043,0,0,0,0,0,0,0
4,Tanaman Pangan Lainnya,73.39959326,0,0,0,0,12.79452507,27.82060703,0,32.30056947,0,0,0,0,0,0,2.81E-03,0.025870814,0,0,0.455207259,0,0,0,0,0,0,0
5,Tanaman Hortikultura Semusim,38.47720476,0,0,0,0,6.707088403,14.58399353,0,16.9324593,0,0,0,0,0,0,0.001474945,0.013561882,0,0,0.238626703,0,0,0,0,0,0,0
6,Tebu,88.37859911,0,0,0,0,15.40556495,33.49809128,0,38.89230108,0,0,0,0,0,0,3.39E-03,0.031150395,0,0,0.548103581,0,0,0,0,0,0,0
7,Tembakau,7.401146351,0,0,0,0,1.290118219,2.805252386,0,3.256983196,0,0,0,0,0,0,2.84E-04,0.002608648,0,0,0.045900194,0,0,0,0,0,0,0
8,Perkebunan Semusim Lainnya,0.444404653,0,0,0,0,0.07746564,0.168442448,0,0.195566797,0,0,0,0,0,0,1.70353E-05,0.000156637,0,0,0.002756095,0,0,0,0,0,0,0
9,Tanaman Hortikultura Tahunan,115.1966214,0,0,0,0,20.08030282,43.66291135,0,50.69396581,0,0,0,0,0,0,0.004415827,0.040602819,0,0,0.714422737,0,0,0,0,0,0,0
10,Tanaman Hortikultura Lainnya,5.160824251,0,0,0,0,0.899600288,1.956104347,0,2.27109654,0,0,0,0,0,0,1.98E-04,0.001819012,0,0,0.032006235,0,0,0,0,0,0,0
11,Kelapa,95.70061155,0,0,0,0,16.68188908,36.27334959,0,42.11446024,0,0,0,0,0,0,3.67E-03,3.37E-02,0,0,0.593513004,0,0,0,0,0,0,0
12,Kopi,26.20731694,0,0,0,0,4.568283809,9.933344768,0,11.53291488,0,0,0,0,0,0,1.00E-03,0.009237171,0,0,0.162531703,0,0,0,0,0,0,0
13,T e h ,1.893228621,0,0,0,0,0.330014922,0.717589392,0,0.833143072,0,0,0,0,0,0,7.2573E-05,0.000667298,0,0,0.011741365,0,0,0,0,0,0,0
14,Kakao,11.62660532,0,0,0,0,2.026671901,4.406825751,0,5.116458501,0,0,0,0,0,0,0.000445682,0.004097976,0,0,0.072105511,0,0,0,0,0,0,0
15,Karet,11.57797079,0,0,0,0,2.018194256,4.388391832,0,5.095056162,0,0,0,0,0,0,0.000443818,0.004080834,0,0,0.07180389,0,0,0,0,0,0,0
16,Perkebunan Tahunan Lainnya,36.37920877,0,0,0,0,6.341379807,13.78879128,0,16.00920534,0,0,0,0,0,0,0.001394523,0.012822411,0,0,0.225615418,0,0,0,0,0,0,0
17,Sapi,170.2032389,0,0,0,0,29.66868766,64.51203901,0,74.90043607,0,0,0,0,0,0,0.006524393,0.059990746,0,0,1.055561025,0,0,0,0,0,0,0
18,Kerbau,0.344541096,0,0,0,0,0.060058094,0.13059122,0,0.151620371,0,0,0,0,0,0,1.32E-05,0.000121439,0,0,0.002136764,0,0,0,0,0,0,0
19,Domba dan Kambing,48.91398794,0,0,0,0,8.526358484,18.53984165,0,21.52531908,0,0,0,0,0,0,0.001875018,0.017240487,0,0,0.303353212,0,0,0,0,0,0,0
20,Ayam,67.73360864,0,0,0,0,11.80686861,25.67303202,0,29.80716969,0,0,0,0,0,0,2.60E-03,2.39E-02,0,0,0.420068136,0,0,0,0,0,0,0
21,Unggas Lainnya,1.262376213,0,0,0,0,0.220048959,0.478477754,0,0.555527201,0,0,0,0,0,0,4.83906E-05,0.000444944,0,0,0.007828965,0,0,0,0,0,0,0
22,Susu Segar,58.25197681,0,0,0,0,10.15409411,22.07921438,0,25.63463829,0,0,0,0,0,0,2.23E-03,0.020531804,0,0,0.361265254,0,0,0,0,0,0,0
