ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1,Padi,24942858.08,0,0,7795873.575,0,0,0,7795873.575,9157057.85,170300.983,0,0,1397.182176,22354.91482,0,0,0
2,Jagung,3625726.544,0,0,0,1068986.443,0,0,0,2494301.701,54795.93984,0,0,449.55648,7192.90368,0,0,0
3,Kedelai,58684.74,0,0,0,15524.91,0,0,0,36224.79,6086.191104,0,0,49.932288,798.916608,0,0,0
4,Tanaman Pangan Lainnya,597960.51,0,0,0,169717.005,0,0,0,396006.345,28291.33162,0,0,232.107552,3713.720832,0,0,0
5,Tanaman Holtikultura Semusim,303503.4,0,0,0,87390,0,0,0,203910,10709.70384,0,0,87.86448,1405.83168,0,0,0
6,Tebu,174068.28,0,0,0,49149.36,0,0,0,114681.84,8984.061408,0,0,73.706976,1179.311616,0,0,0
7,Tembakau,2404.8185,1.69335145,1.3810244,0.3492475,0,0,0,5.19181355,1.3630631,2101.711584,0,0,17.242848,275.885568,0,0,0
8,Perkebunan Semusim Lainnya,68.0825,0.04794025,0.039098,0.0098875,0,0,0,0.14698475,0.0385895,59.50128,0,0,0.48816,7.81056,0,0,0
9,Tanaman Holtikultura Tahunan,741900.39,0,0,0,205077.825,0,0,0,478514.925,51170.78486,0,0,419.815008,6717.040128,0,0,0
10,Tanaman Holtikultura Lainnya,125967024.8,0,0,0,0,0,0,0,125965120.4,1671.30144,0,0,13.71168,219.38688,0,0,0
11,Kelapa,182407.96,0,0,0,0,0,0,0,101933.86,0,0,0,24142.23,56331.87,0,0,0
12,Kopi,16749.78,0,0,0,1537.47,0,0,0,3587.43,10201.99469,0,0,83.699136,1339.186176,0,0,0
13,T e h,1323.4515,0.93190755,0.7600236,0.1922025,0,0,0,2.85722745,0.7501389,1156.641696,0,0,9.489312,151.828992,0,0,0
14,Kakao,6859.2,0,0,0,807.84,0,0,0,1884.96,3656.43264,0,0,29.99808,479.96928,0,0,0
15,Karet,8937.14,0,0,0,414.33,0,0,0,966.77,6631.180704,0,0,54.403488,870.455808,0,0,0
16,Perkebunan Tahunan Lainnya,36336.27,0,0,0,6615.945,0,0,0,15437.205,12534.86611,0,0,102.838464,1645.415424,0,0,0
17,Sapi,678456.3,0,0,0,0,0,0,0,113076.05,0,0,0,0,565380.25,0,0,0
18,Kerbau,4168.8,0,0,0,0,0,0,0,694.8,0,0,0,0,3474,0,0,0
19,Domba dan Kambing,19628.8708,0,0,0,6357.077475,0,0,0,6357.077475,0,0,0,0,6914.71585,0,0,0
20,Ayam,56354.1981,0,0,0,12285.65943,0,0,0,28666.53867,13516.7952,0,0,110.8944,1774.3104,0,0,0
21,Unggas Lainnya,1255.6098,0,0,0,285.24294,0,0,0,665.56686,267.49248,0,0,2.19456,35.11296,0,0,0
22,Susu Segar,9577.34,6.743878,5.500016,1.3909,0,0,0,20.676722,5.428484,8370.19776,0,0,68.67072,1098.73152,0,0,0
23,Telur,8215.0875,5.78464875,4.71771,1.1930625,0,0,0,17.73572625,4.6563525,7179.6456,0,0,58.9032,942.4512,0,0,0
24,Ternak Lainnya,1751.4488,0,0,0,63.55785,0,0,0,322.75785,0,0,0,0,1365.1331,0,0,0
25,Jasa Pertanian dan Perburuan,10300.099,7.2528083,5.9150776,1.495865,0,0,0,22.2371017,5.8381474,9001.859136,0,0,73.852992,1181.647872,0,0,0
26,Kayu Jati,41632.884,0,0,0,9335.66634,0,0,0,23421.05766,7789.718016,0,0,63.908352,1022.533632,0,0,0
27,Kayu Rimba,54304.26,0,0,0,10394.2521,0,0,0,26076.8079,15650.41632,0,0,128.39904,2054.38464,0,0,0
28,Hasil Hutan Lainnya,1523.843,1.0730131,0.8751032,0.221305,0,0,0,3.2898569,0.8637218,1331.775552,0,0,10.926144,174.818304,0,0,0
29,Ikan Laut dan Hasil Perikanan Laut,114569.4236,0,0,0,19358.11178,0,0,0,19358.11178,66568.76832,0,0,546.14304,8738.28864,0,0,0
30,Ikan Darat dan Hasil Perikanan Darat,99794.26559,0,0,0,9332.512794,0,0,0,9332.512794,71199.02102,0,0,584.130528,9346.088448,0,0,0
31,Pertambangan Minyak Bumi,4676.9665,3.29328305,2.6858596,0.6792275,0,0,0,10.09720195,2.6509279,4087.474656,0,0,33.534432,536.550912,0,0,0
32,Pertambangan Gas Alam dan Panas Bumi,467.1785,0.32896345,0.2682884,0.0678475,0,0,0,1.00860155,0.2647991,408.294624,0,0,3.349728,53.595648,0,0,0
33,Pertambangan Bijih Logam,48.8025,0.03436425,0.028026,0.0070875,0,0,0,0.10536075,0.0276615,42.65136,0,0,0.34992,5.59872,0,0,0
34,Pertambangan dan Penggalian Lainnya,11096.7245,7.81375165,6.3725588,1.6115575,0,0,0,23.95695335,6.2896787,9698.076768,0,0,79.564896,1273.038336,0,0,0
35,Industri Batubara dan Pengilangan Minyak,368.971,0.2598107,0.2118904,0.053585,0,0,0,0.7965793,0.2091346,322.465344,0,0,2.645568,42.329088,0,0,0
36,Industri Pengolahan dan Pengawetan Daging,5202.1055,3.66305935,2.9874332,0.7554925,0,0,0,11.23093565,2.9485793,4546.424352,0,0,37.299744,596.795904,0,0,0
37,Industri Pengolahan dan Pengawetan Ikan dan Biota Air,5906.0665,4.15875305,3.3916996,0.8577275,0,0,0,12.75073195,3.3475879,5161.657056,0,0,42.347232,677.555712,0,0,0
38,Industri Pengolahan dan Pengawetan Buah-buahan dan Sayuran,836.752,0.5891984,0.4805248,0.12152,0,0,0,1.8064816,0.4742752,731.286528,0,0,5.999616,95.993856,0,0,0
39,Industri Minyak Makan dan Lemak Nabati dan Hewani,11269.2805,7.93525685,6.4716532,1.6366175,0,0,0,24.32948815,6.3874843,9848.883552,0,0,80.802144,1292.834304,0,0,0
40,"Industri Pengolahan Susu, Produk dari Susu dan Es Krim",3338.814,2.3510238,1.9173936,0.48489,0,0,0,7.2082362,1.8924564,2917.984896,0,0,23.939712,383.035392,0,0,0
41,Industri Beras,25988.958,18.3001086,14.9247792,3.77433,0,0,0,56.1081114,14.7306708,22713.27091,0,0,186.344064,2981.505024,0,0,0
42,"Industri Penggilingan Padi-Padian (Kecuali Beras), Tepung dan Pati",14761.009,10.3939553,8.4768616,2.143715,0,0,0,31.8678547,8.3666134,12900.50938,0,0,105.838272,1693.412352,0,0,0
43,Industri Roti dan Kue,16545.373,11.6504141,9.5015752,2.402855,0,0,0,35.7201559,9.3779998,14459.96947,0,0,118.632384,1898.118144,0,0,0
44,Industri Gula,4963.0335,3.49471695,2.8501404,0.7207725,0,0,0,10.71479805,2.8130721,4337.485344,0,0,35.585568,569.369088,0,0,0
45,Industri Makanan Lainnya,6732.335,4.7405695,3.866204,0.977725,0,0,0,14.5345805,3.815921,5883.78144,0,0,48.27168,772.34688,0,0,0
46,Industri Makanan Hewan,756.3785,0.53260345,0.4343684,0.1098475,0,0,0,1.63296155,0.4287191,661.043424,0,0,5.423328,86.773248,0,0,0
47,Industri Minuman,3600.4195,2.53523315,2.0676268,0.5228825,0,0,0,7.77302185,2.0407357,3146.617248,0,0,25.815456,413.047296,0,0,0
48,Industri Rokok,65344.3785,46.01220345,37.5255684,9.4898475,0,0,0,141.0733616,37.0375191,57108.27542,0,0,468.527328,7496.437248,0,0,0
49,Industri Tembakau Olahan,6322.2735,4.45182495,3.6307164,0.9181725,0,0,0,13.64929005,3.5834961,5525.404704,0,0,45.331488,725.303808,0,0,0
50,Industri Tekstil,2797.8895,1.97013215,1.6067548,0.4063325,0,0,0,6.04042285,1.5858577,2445.239328,0,0,20.061216,320.979456,0,0,0
51,Industri Pakaian Jadi,2001.023,1.4090191,1.1491352,0.290605,0,0,0,4.3200509,1.1341898,1748.811072,0,0,14.347584,229.561344,0,0,0
52,Industri Kulit dan Barang dari Kulit,1353.0945,0.95278065,0.7770468,0.1965075,0,0,0,2.92122435,0.7669407,1182.548448,0,0,9.701856,155.229696,0,0,0
53,Industri Alas Kaki,4779.03,3.365151,2.744472,0.69405,0,0,0,10.317549,2.708778,4176.67392,0,0,34.26624,548.25984,0,0,0
54,"Industri Kayu, Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",24144.7055,17.00147935,13.8656732,3.5064925,0,0,0,52.12651565,13.6853393,21101.47075,0,0,173.120544,2769.928704,0,0,0
