Year,Energi,Limbah,Kehutanan,Pertanian
2010,26048483.44,7260.913141,0,54277880.79
2011,27267557.71,56.292752,1089992.162,21413300.6
2012,28692382.96,70.545364,1079872.025,22143367.9
2013,30229982.88,65.830337,1069903.311,22873435.2
2014,31891183.09,124.559882,1060084.836,23603502.5
2015,33687989.95,23.842478,1050415.297,24333569.8
2016,35670087.15,8.261706,1040893.285,25063637.1
2017,37860348.3,-19.705769,1031517.301,25793704.4
2018,40284969.84,20.145737,1022285.778,26523771.7
2019,42974010.83,117.916598,1013197.08,27253839
2020,45962029.81,87.241264,1004249.525,27983906.3
2021,49185349.71,-39.608353,995441.38,28713973.6
2022,52680290.44,42.564895,986770.88,29444040.9
2023,56471352.71,48.554718,978236.25,30174108.2
2024,60585343.09,19.502991,969835.66,30904175.5
2025,65051597.91,35.811961,961567.31,31634242.8
2026,69902229.36,-9.672086,953429.36,32364310.1
2027,75172396.18,16.161651,945419.95,33094377.4
2028,80900601.39,-33.036032,937537.26,33824444.7
2029,87129019.73,59.205962,929779.44,34554512
2030,93903857.99,10.724473,0,35284579.3
