ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,46.940099,0,0,0,0,8.182283,17.79168,0,20.65668,0,0,0,0,0,0,0.001799,0.016545,0,0,0.291112,0,0,0,0,0,0,0
2,Jagung,6.277056,0,0,0,0,1.094174,2.379189,0,2.762311,0,0,0,0,0,0,0.000241,0.002212,0,0,0.038929,0,0,0,0,0,0,0
3,Kacang Kedelai,0.05821873,0,0,0,0,0.010148,0.022067,0,0.02562,0,0,0,0,0,0,2.23E-06,2.05E-05,0,0,0.000361,0,0,0,0,0,0,0
4,Ketela pohon,2.268442,0,0,0,0,0.39542,0.859806,0,0.998261,0,0,0,0,0,0,8.70E-05,0.0008,0,0,0.014068,0,0,0,0,0,0,0
5,Tanaman pangan lainnya,1.694929,0,0,0,0,0.295449,0.642428,0,0.745878,0,0,0,0,0,0,6.50E-05,0.000597,0,0,0.010512,0,0,0,0,0,0,0
6,Jasa pertanian dan perburuan,3.072054,0,0,0,0,0.5355,1.164399,0,1.351902,0,0,0,0,0,0,1.18E-04,0.001083,0,0,0.019052,0,0,0,0,0,0,0
7,Jeruk,6.968379,0,0,0,0,1.214681,2.641221,0,3.066538,0,0,0,0,0,0,2.67E-04,0.002456,0,0,0.043216,0,0,0,0,0,0,0
8,Hortikultura lainnya,11.253358,0,0,0,0,1.96161,4.265354,0,4.952206,0,0,0,0,0,0,0.000431,0.003966,0,0,0.069791,0,0,0,0,0,0,0
9,Karet ,33.930691,0,0,0,0,5.914571,12.86073,0,14.9317,0,0,0,0,0,0,0.001301,0.011959,0,0,0.21043,0,0,0,0,0,0,0
10,Kelapa,8.624774,0,0,0,0,1.503413,3.269043,0,3.795458,0,0,0,0,0,0,3.31E-04,0.00304,0,0,0.053489,0,0,0,0,0,0,0
11,Kelapa Sawit,42.040954,0,0,0,0,7.328296,15.93476,0,18.50074,0,0,0,0,0,0,1.61E-03,1.48E-02,0,0,0.260728,0,0,0,0,0,0,0
