ID,Sektor,Labour
1,Pertanian Padi,52329
2,Pertanian Jagung,1696
3,Pertanian Palawija Lainnya,2125
4,Pertanian Sayur-sayuran & Buah-buahan,13070
5,Perkebunan Karet,42073
6,Perkebunan Kepala Sawit,43629
7,Tanaman Perkebunan Lainnya,11906
8,Pembibitan dan Budidaya Unggas,21862
9,Pembibitan dan Budidaya Ternak Besar,5951
10,Pengusahaan Hutan Tanaman dan Alam,3232
11,Pengusahaan Hasil Hutan Lainnya,7031
12,Perikanan Laut,13620
13,Perikanan Darat,19559
14,Penambangan Minyak Bumi,3986
15,Penambangan Batubara,262103
16,Penambangan Non Migas Lainnya,6371
17,Penggalian,17776
18,Ikan Kering dan Asin,391
19,Industri Minyak Makan,76376
20,Beras,12454
21,Industri Pengolahan dan Pengawetan Makanan,18811
22,Industri Minuman dan Pengolahan Tembakau,493
23,Industri Tekstil Pakaian Jadi dan Kulit,1833
24,Industri Kayu Lapis dan Penggergajian Kayu,13404
25,Industri Barang dari Kayu Bambu dan Rotan,3949
26,Industri Kertas Percetakan dan Penerbitan,1647
27,Industri Kimia,3439
28,Industri Pengilangan Minyak Bumi ,0
29,Industri Karet dan Plastik,23820
30,Industri Galian Bukan Logam,25976
31,Industri Logam Mesin Alat-alat Angkutan dan Industri Pengolahan Lainya,1158
32,Listrik,7635
33,Air Minum,4470
34,Bangunan,107585
35,Perdagangan,171906
36,Jasa Akomodasi,5581
37,Restoran/Rumah Makan,32111
38,Angkutan Jalan,64677
39,Angkutan Sungai,6744
40,Angkutan Laut,46194
41,Angkutan Udara,15703
42,Jasa Penunjang Angkutan dan Pergudangan,17214
43,Komunikasi,17692
44,Lembaga Keuangan Usaha Persewaan dan Jasa Perusahaan,67264
45,Jasa Pemerintah dan Pertahanan,424977
46,Jasa Hiburan dan Rekreasi,3184
47,Jasa Pendidikan,17527
48,Jasa Kesehatan,6342
49,Jasa Kemasyarakatan dan Perorangan,14633
50,Kegiatan yang Tidak Jelas Batasannya,91
