Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Pertanian Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,27180.8,32355.6,39430.1,0,0,0,0,0,0,0,0,0,98966.5,56.43235842,0.01772033
Pertanian Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,27180.8,32355.6,39430.1,0,0,0,0,0,0,0,0,0,98966.5,2.439936746,0.40984669
Pertanian Palawija Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,27180.8,32355.6,39430.1,0,0,0,0,0,0,0,0,0,98966.5,2.826117929,0.353842276
Pertanian Sayur-sayuran & Buah-buahan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,27180.8,32355.6,39430.1,0,0,0,0,0,0,0,0,0,98966.5,11.72088535,0.085317787
Perkebunan Karet,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,65852.6,0,0,0,0,32355.6,0,0,0,0,0,0,0,0,0,0,98208.2,17.3999218,0.057471523
Perkebunan Kepala Sawit,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,131705.2,0,0,0,0,32355.6,0,0,0,0,0,0,0,0,0,0,164060.8,20.5345823,0.048698337
Tanaman Perkebunan Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,65852.6,0,0,0,0,32355.6,0,0,0,0,0,0,0,0,0,0,98208.2,9.882148334,0.101192571
Pembibitan dan Budidaya Unggas,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,629.9020799,0.001587548
Pembibitan dan Budidaya Ternak Besar,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,247.5002414,0.0040404
Pengusahaan Hutan Tanaman dan Alam,Pertanian Kehutanan dan Perikanan,4861.1,186426.9,0,587.8,546.55,2371.95,20931.4,65852.6,124670.7,15218.7,0,27180.8,16177.8,9857.525,297.4,1431.864865,415.2,7947.2,8948.1,182.59,372.48,0,0,494278.6599,0.552352392,1.810438435
Pengusahaan Hasil Hutan Lainnya,Pertanian Kehutanan dan Perikanan,9722.2,62142.3,0,587.8,0,4743.9,10465.7,32926.3,41556.9,30437.4,0,13590.4,32355.6,19715.05,297.4,1431.864865,415.2,1986.8,2237.025,182.59,7449.6,0,0,272244.0299,1.953005178,0.512031413
Perikanan Laut,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5948,0,0,0,0,3651.8,0,0,0,9599.8,135.3857372,0.007386302
Perikanan Darat,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5948,0,0,0,0,1825.9,0,0,0,7773.9,259.8576004,0.003848262
Penambangan Minyak Bumi,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.8,17896.2,0,0,0,0,19883,33.39787758,0.029942022
Penambangan Batubara,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.8,17896.2,0,0,0,0,19883,1584.338681,0.000631178
Penambangan Non Migas Lainnya,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.8,8948.1,0,0,0,0,10934.9,91.05295887,0.010982619
Penggalian,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15894.4,4474.05,0,0,0,0,20368.45,44.18573824,0.022631737
Ikan Kering dan Asin,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,64.38317069,0.015532009
Industri Minyak Makan,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,8517.581721,0.000117404
Beras,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,4871.931124,0.000205257
Industri Pengolahan dan Pengawetan Makanan,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,1937.314106,0.000516179
Industri Minuman dan Pengolahan Tembakau,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,97.5825327,0.010247736
Industri Tekstil Pakaian Jadi dan Kulit,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,144.9026407,0.006901185
Industri Kayu Lapis dan Penggergajian Kayu,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,1347.685838,0.000742013
Industri Barang dari Kayu Bambu dan Rotan,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,417.4206761,0.002395665
Industri Kertas Percetakan dan Penerbitan,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,154.7548274,0.006461834
Industri Kimia,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,274.6139036,0.003641476
Industri Pengilangan Minyak Bumi ,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
