Padi,Pertanian Kehutanan dan Perikanan
Ketela pohon,Pertanian Kehutanan dan Perikanan
sayur-sayuran,Pertanian Kehutanan dan Perikanan
Buah-buahan,Pertanian Kehutanan dan Perikanan
Tabama Lainnya,Pertanian Kehutanan dan Perikanan
Lada,Pertanian Kehutanan dan Perikanan
Kelapa sawit,Pertanian Kehutanan dan Perikanan
Tanaman Perkebunan Lainnya,Pertanian Kehutanan dan Perikanan
Ayam Ras,Pertanian Kehutanan dan Perikanan
Peternakan Lainnya,Pertanian Kehutanan dan Perikanan
Kayu,Pertanian Kehutanan dan Perikanan
Hasil hutan lainnya,Pertanian Kehutanan dan Perikanan
Ikan laut dan hasil aut lainnya,Pertanian Kehutanan dan Perikanan
Ikan darat dan hasil perairan darat,Pertanian Kehutanan dan Perikanan
Pertambangan Migas,Pertambangan dan Penggalian
Batubara,Pertambangan dan Penggalian
Pertambangan Non Migas Lainnya,Pertambangan dan Penggalian
Barang galian segala jenis,Pertambangan dan Penggalian
Barang-barang hasil kilang minyak,Pertambangan dan Penggalian
Gas alam cair (LNG),Pertambangan dan Penggalian
Industri Makanan Minuman dan Tembakau,Industri Pengolahan
Industri Tekstil Barang Kulit dan Alas Kaki,Industri Pengolahan
Industri Kayu dan Hasil Hutan Lainnya,Industri Pengolahan
Industri Kertas dan Barang Cetakan,Industri Pengolahan
Industri Pupuk Kimia dan Barang dari Karet,Industri Pengolahan
Industri Semen Barang Lain Bukan Logam,Industri Pengolahan
Industri Logam Dasar Besi dan Baja,Industri Pengolahan
Industri Alat Angkutan Mesin dan Peralatan,Industri Pengolahan
Industri Barang Lainnya,Industri Pengolahan
Listrik dan gas,Pengadaan Listrik Gas
Air bersih,Pengadaan Listrik Gas
Konstruksi,Konstruksi
Jasa perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Jasa perhotelan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Jasa restoran,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Jasa angkutan jalan raya,Transportasi dan Pergudangan
Jasa angkutan sungai dan danau,Transportasi dan Pergudangan
Jasa angkutan laut,Transportasi dan Pergudangan
Jasa angkutan  udara,Transportasi dan Pergudangan
Jasa penunjang angkutan,Transportasi dan Pergudangan
Jasa komunikasi,Informasi dan Komunikasi
Bank,Jasa Keuangan dan Asuransi
Lembaga Keuangan Selain Bank,Jasa Keuangan dan Asuransi
Sewa bangunan dan sewa tanah,Real Estat
Jasa perusahaan,Jasa Perusahaan
Pemerintahan dan Pertahanan,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib
Jasa Sosial dan Kemasyarakatan,Jasa Kesehatan dan Kegiatan Sosial
Jasa hiburan rekreasi & kebudayaan,Jasa lainnya
Jasa perorangan dan rumah tangga,Jasa lainnya
