ID,Sektor,Labour
1,Padi,2767
2,Umbi-umbian,94
3,Kacang-kacangan,11
4,Jagung dan tanaman pangan lainnya,11
5,Sayuran-sayuran,20
6,Buah-buahan,142
7,Karet,2029
8,Kelapa,95
9,Kelapa Sawit,19077
10,Tanaman perkebunan tahunan lainnya,13
11,Ternak,894
12,Unggas dan Hasil-hasilnya,3176
13,Kayu,4727
14,Hasil Hutan Bukan Kayu,105
15,Ikan,4149
16,Biota Air Lainnya,146
17,Gas Alam,1682
18,Batubara dan Lignit,5192
19,Barang tambang logam lainnya,4776
20,Penggalian,1557
21,Minyak nabati,2105
22,Industri Pengolahan dan pengawet makanan dan minuman,227
23,Industri Tekstil dan Pakaian Jadi,2
24,Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya ,72
25,Kayu Lapis dan sejenisnya,39
26,Produk pertukangan dan bahan bangunan dari kayu ,74
27,Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman ,10
28,Industri barang dari kilang minyak,0
29,Industri Kimia Farmasi dan Obat Tradisional,150
30,Industri Karet Barang dari Karet dan Plastik,38
31,Industri Barang Galian bukan Logam,11
32,Industri Logam Dasar,0
33,Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik,5
34,Industri Mesin dan Perlengkapan YTDL,2
35,Industri Alat Angkutan,13
36,Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan,4
37,Ketenagalistrikan ,19
38,Hasil Gas Alam dan Buatan Pengadaan Uap Air/Air Panas Udara Dingin dan Produk Es,1
39,Pengadaan Air Pengolahan Sampah Dan Daur Ulang,63
40,Konstruksi,2239
41,Perdagangan Mobil Sepeda Motor dan Reparasinya,385
42, Perdagangan Besar dan Eceran,5684
43,Jasa Angkutan Darat ,295
44,Jasa Angkutan Laut ,570
45,Jasa Angkutan Sungai Danau dan Penyeberangan,193
46,Jasa Angkutan Udara,45
47,Jasa Penunjang Angkutan,151
48,Penyediaan Akomodasi,366
49,Penyediaan Makan dan Minum,1690
50,Informasi dan Komunikasi ,178
51,Jasa Keuangan Perbankan,162
52,Lembaga keuangan lainnya,160
53,Jasa Real Estate,426
54,Jasa Perusahaan,10
55,Pemerintahan Umum,4330
56,Jasa Pendidikan,2057
57,Jasa Kesehatan,569
58,Jasa Lainnya,771
