ID,Sektor,Labour
1, Padi ,4164
2, Ketela pohon ,331
3, sayur-sayuran ,3436
4, Buah-buahan ,3362
5, Tabama Lainnya ,2014
6, Lada ,628
7, Kelapa sawit ,13142
8, Tanaman Perkebunan Lainnya ,2835
9, Ayam Ras ,4800
10, Peternakan Lainnya ,3674
11, Kayu ,16613
12, Hasil hutan lainnya ,1947
13, Ikan laut dan hasil aut lainnya ,7668
14, Ikan darat dan hasil perairan darat ,11373
15, Pertambangan Migas ,134539
16, Batubara ,426782
17, Pertambangan Non Migas Lainnya ,25643
18, Barang galian segala jenis ,9539
19, Barang-barang hasil kilang minyak ,215257
20, Gas alam cair (LNG) ,192072
21, Industri Makanan Minuman dan Tembakau ,5898
22, Industri Tekstil Barang Kulit dan Alas Kaki ,324
23, Industri Kayu dan Hasil Hutan Lainnya ,9927
24, Industri Kertas dan Barang Cetakan ,17236
25, Industri Pupuk Kimia dan Barang dari Karet ,24536
26, Industri Semen Barang Lain Bukan Logam ,850
27, Industri Logam Dasar Besi dan Baja ,0
28, Industri Alat Angkutan Mesin dan Peralatan ,724
29, Industri Barang Lainnya ,1017
30, Listrik dan gas ,3500
31, Air bersih ,893
32, Konstruksi ,68621
33, Jasa perdagangan ,116123
34, Jasa perhotelan ,2640
35, Jasa restoran ,12726
36, Jasa angkutan jalan raya ,18391
37, Jasa angkutan sungai dan danau ,7667
38, Jasa angkuta laut ,6158
39, Jasa angkutan  udara ,17257
40, Jasa penunjang angkutan ,29089
41, Jasa komunikasi ,5440
42, Bank ,9641
43, Lembaga Keuangan Selain Bank ,1716
44, Sewa bangunan dan sewa tanah ,4312
45, Jasa perusahaan ,11420
46, Pemerintahan dan Pertahanan ,156094
47, Jasa Sosial dan Kemasyarakatan ,2337
48, Jasa hiburan rekreasi & kebudayaan ,291
49, Jasa perorangan dan rumah tangga ,4469
