Year,Energi,Limbah,Kehutanan,Pertanian
2010,482.1095825,149.6492894,531321,365719.1603
2011,484.9929416,178.2386457,551362.5111,396119.956
2012,490.5050586,200.9292802,1100857.742,415981.06
2013,498.85929,219.692,1648524.249,435842.164
2014,510.3174245,235.8589918,2194399.226,455703.268
2015,525.1957523,250.332702,2738518.552,475564.372
2016,542.1122074,263.7281454,3280916.845,495425.476
2017,560.7629924,276.4668525,3821627.504,515286.58
2018,580.8135445,288.8404943,4360682.754,535147.684
2019,601.9035576,301.0535137,4898113.691,555008.788
2020,623.6628643,313.2517651,5433950.321,574869.892
2021,646.327581,336.9723878,5968221.602,594730.996
2022,670.052109,352.5580613,6500955.481,614592.1
2023,694.8907851,368.1437348,7032178.931,634453.204
2024,720.9008244,383.7294084,7561917.988,654314.308
2025,748.1424747,399.3150819,8090197.784,674175.412
2026,776.6791789,414.9007555,8617042.581,694036.516
2027,806.5777473,430.486429,9142475.801,713897.62
2028,837.9085377,446.0721026,9666520.06,733758.724
2029,870.7456467,461.6577761,10189197.2,753619.828
2030,905.1671099,477.2434497,11265987,773480.932
