ID,Sektor,Labour
1,Padi,268284
2,Jagung,43314
3,Kacang tanah,24921
4,Kedelai,27678
5,Tanaman umbi-umbian,10293
6,Tanaman bahan makanan lainnya,10473
7,Bawang merah,72427
8,Tomat,3148
9,Cabe,36903
10,Sayuran lainnya,12952
11,Mangga,12643
12,Nanas,4370
13,Buah-buahan Lainnya,12693
14,Kelapa,9420
15,Tembakau,40747
16,Jambu Mete,12916
17,Kopi,8513
18,Tanaman perkebunan lainnya,8653
19,Sapi,121351
20,Kerbau,17354
21,Ternak lainnya dan hasil2nya,12947
22,Ayam ras Petelur,72
23,Ayam ras pedaging,2826
24,Unggas dan hasil-hasilnya,1561
25,Kayu dan hasil hutan lainnya,1712
26,Rumput laut,9058
27,Perikanan laut,56116
28,Budidaya Bandeng,2255
29,Perikanan darat lainnya,46709
30,Pertambangan Bijih logam,120485
31,Pertambangan dan penggalian lainnya,14519
32,Industri Makanan dan Minuman,13417
33,Pengolahan Tembakau,694
34,Industri Tekstil dan Pakaian Jadi,1355
35,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman
dari Bambu Rotan dan Sejenisnya",4160
36,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi
Media Rekaman",629
37,Industri Kimia Farmasi dan Obat Tradisional,156
38,Industri pengilangan minyak,0
39,Barang Galian bukan Logam,1925
40,Industri Furnitur,540
41,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin
dan peralatan",1928
42,Listrik dan gas,992
43,Air bersih,373
44,Bangunan,57490
45,Perdagangan Mobil Sepeda Motor dan Reparasinya,34942
46,Perdagangan Besar dan Eceran,167829
47,Restoran dan rumah makan,117300
48,Hotel Bintang,31098
49,Hotel Non Bintang,22646
50,Angkutan Taxi,3925
51,Angkutan darat,96396
52,Angkutan laut,1907
53,Angkutan Sungai Danau dan  penyeberangan,14389
54,Angkutan udara,26373
55,Jasa penunjang angkutan,8200
56,Informasi dan Komunikasi,6584
57,Bank,29637
58,Asuransi dan Dana Pensiun,1368
59,Jasa Keuangan Lainnya,4831
60,Real Estate,100269
61,Jasa perusahaan,3496
62,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,178684
63,Jasa Pendidikan,10426
64,Jasa Kesehatan dan Kegiatan Sosial,4116
65,Jasa Lainnya,6450
66,Kegiatan yang tidak jelas,0
