Year,Energi,Limbah,Kehutanan,Pertanian
2010,1442327.866,439.8667455,0,3530331.528
2011,1641533.151,66.9671563,4336.079331,3492602.58
2012,1864398.23,50.6427211,4334.327323,3601837.57
2013,2110537.289,40.4564584,4332.576286,3711072.56
2014,2379408.061,33.1672309,4330.82623,3820307.55
2015,2669783.856,28.1901715,4329.07714,3929542.54
2016,2979800.402,24.7788945,4327.32902,4038777.53
2017,3307097.685,22.431608,4325.58187,4148012.52
2018,3649072.906,20.8106604,4323.8357,4257247.51
2019,4003252.38,20.2885724,4322.09049,4366482.5
2020,4367778.622,18.9220379,4320.34626,4475717.49
2021,4772391.307,56.2120429,4318.60299,4584952.48
2022,5222751.704,30.6904797,4316.86069,4694187.47
2023,5724817.547,30.6904798,4315.11935,4803422.46
2024,6285387.848,30.6904797,4313.37899,4912657.45
2025,6912226.657,30.6904798,4311.63959,5021892.44
2026,7614205.421,30.6904797,4309.90116,5131127.43
2027,8401466.732,30.6904795,4308.16368,5240362.42
2028,9285612.72,30.69048,4306.42718,5349597.41
2029,10279921.84,30.69048,4304.69163,5458832.4
2030,11399598.35,30.69048,0,5568067.39
