ID,Sektor,Labour
1,Padi,90120
2,Jagung,336013
3,Kacang-kacangan,26779
4,Umbi-umbian,85893
5,Sayur dan buah-buahan,208234
6,Tanaman bahan makanan lainnya,455
7,Jambu mete,34661
8,Kelapa,6125
9,Tembakau,105
10,Kopi  dan kakao,34202
11,Panili,1442
12,Cengkeh,2758
13,Kapuk/kapas,1571
14,Perkebunan lain,20230
15,Pertanian lainnya & jasa pertanian,448
16,Peternak dan hasilnya,311003
17,Pemotongan hewan,1531
18,Unggas & hasil-hasilnya,115253
19,Kayu hasil hutan,1081
20,Hasil hutan lainnya,6619
21,Perikanan,107886
22,Pertambangan & pengalian,10855
23,Ind makanan & minuman,3135
24,Ind minyak &  lemak,2659
25,Ind penggilingan padi,74521
26,Ind makanan dari tepung,867
27,Ind gula,1015
28,Ind makanan lainnya,2872
29,Ind rokok &  tembakau,1718
30,Ind tektil & kulit,48504
31,Ind barang dari kayu dan rotan,3543
32,Ind kertas dan barang cetakan,2180
33,Ind pupuk kimia & pengilangan,4645
34,Ind semen dan sejenisnya,5323
35,Ind barang dari logam,2418
36,Ind angkutan mesin dan peralatannya,962
37,Industri lainnya,1494
38,Listrik dan air bersih,2131
39,Bangunan,33846
40,Perdagangan,112386
41,H o t e l,2251
42,Restoran,3169
43,Angk. darat dan rel,26366
44,Angk. laut sungai & penyeberangan,9472
45,Angk. udara,1380
46,Jasa penunjang angkutan,5158
47,Komunikasi,19563
48,Bank & lembaga keuangan lainnya,8989
49,Real estat & jasa perusahaan,2211
50,Pemerintahan,149702
51,Jasa pemerintah lainnya,5377
52,Jasa sosial kemasyarakatan,10872
53,Jasa Hiburan dan rekreasi,300
54,Jasa Perorangan RT & Lainnya,18837
55,Barang & jasa yg tdk termasuk dimanapun,2058
