ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,7145.646785,0,0,0,0,1245.581247,2708.410528,0,3144.546858,0,0,0,0,0,0,0.273913747,2.518592991,0,0,44.3156446,0,0,0,0,0,0,0
2,Jagung,23357.80436,0,0,0,0,4071.575879,8853.295602,0,10278.94501,0,0,0,0,0,0,0.895373631,8.232817004,0,0,144.859687,0,0,0,0,0,0,0
3,Kacang-kacangan,2851.691084,0,0,0,0,497.0876737,1080.874886,0,1254.928561,0,0,0,0,0,0,0.109313742,1.005122334,0,0,17.68552692,0,0,0,0,0,0,0
4,Umbi-umbian,7525.805425,0,0,0,0,1311.847953,2852.501846,0,3311.841253,0,0,0,0,0,0,2.88E-01,2.652585744,0,0,46.67330034,0,0,0,0,0,0,0
5,Sayur dan buah-buahan,17670.48575,0,0,0,0,3080.200623,6697.634389,0,7776.156886,0,0,0,0,0,0,0.67736191,6.228234181,0,0,109.5882556,0,0,0,0,0,0,0
6,Tanaman bahan makanan lainnya,136.6130413,0,0,0,0,23.81346958,51.78036509,0,60.11857608,0,0,0,0,0,0,5.24E-03,0.048151365,0,0,0.847242408,0,0,0,0,0,0,0
7,Jambu mete,4303.314137,0,0,0,0,750.1248732,1631.082765,0,1893.736614,0,0,0,0,0,0,1.65E-01,1.516769181,0,0,26.68815653,0,0,0,0,0,0,0
8,Kelapa,450.381769,0,0,0,0,78.50753086,170.7079515,0,198.1971149,0,0,0,0,0,0,0.017264463,0.158743974,0,0,2.793163308,0,0,0,0,0,0,0
9,Tembakau,14.4529133,0,0,0,0,2.519334962,5.478079693,0,6.360216854,0,0,0,0,0,0,0.000554023,0.005094151,0,0,0.089633617,0,0,0,0,0,0,0
10,Kopi  dan kakao,4262.863477,0,0,0,0,743.0737854,1615.750774,0,1875.935707,0,0,0,0,0,0,1.63E-01,1.502511724,0,0,26.43729091,0,0,0,0,0,0,0
11,Panili,143.9686021,0,0,0,0,25.09564163,54.56833922,0,63.35549869,0,0,0,0,0,0,5.52E-03,5.07E-02,0,0,0.89285989,0,0,0,0,0,0,0
