Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,17324.3,38094.05,19726.8,0,0,0,0,0,0,0,0,0,75145.15,7073.707652,0.000141369
Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,17324.3,38094.05,19726.8,0,0,0,0,0,0,0,0,0,75145.15,21020.54749,4.76E-05
Kacang-kacangan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,17324.3,38094.05,9863.4,0,0,0,0,0,0,0,0,0,65281.75,3303.331462,0.000302725
Umbi-umbian,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,17324.3,38094.05,9863.4,0,0,0,0,0,0,0,0,0,65281.75,8007.882458,0.000124877
Sayur dan buah-buahan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,55.3,0,0,0,17324.3,38094.05,0,0,0,0,0,0,0,0,0,0,55473.65,21281.67076,4.70E-05
Tanaman bahan makanan lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,55.3,0,0,0,17324.3,38094.05,0,0,0,0,0,0,0,0,0,0,55473.65,165.8702635,0.006028808
Jambu mete,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,110.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.6,2710798.323,3.69E-07
Kelapa,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,110.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.6,277140.9415,3.61E-06
Tembakau,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,110.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.6,9263.306558,0.000107953
Kopi  dan kakao,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,110.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.6,3122280.689,3.20E-07
Panili,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,110.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.6,98192.87962,1.02E-05
