Year,Energi,Limbah,Kehutanan,Pertanian
2010,548.9267491,273.55,59561230,360922.1095
2011,606.2686635,300.38,60971964.16,413587.58
2012,662.8999371,325.76,122059586.7,449302.37
2013,717.619513,343.56,183262730.8,485017.16
2014,769.1997582,359.69,244581242.6,520731.95
2015,816.4113226,374.69,306014952.2,556446.74
2016,858.0493329,388.68,367563674.3,592161.53
2017,892.9649445,398.34,429227208.8,627876.32
2018,920.1058541,409.21,491005341.9,663591.11
2019,938.5677919,415.07,552897846.2,699305.9
2020,947.6565217,419.86,614904481.9,735020.69
2021,956.7272316,432.35,677024996.9,770735.48
2022,965.9050439,434.71,739259127.7,806450.27
2023,975.1912978,441.82,801606600,842165.06
2024,984.58735,445.43,864067128.8,877879.85
2025,994.0945749,451.19,926640419.4,913594.64
2026,1003.714365,457.1,989326167.5,949309.43
2027,1013.44813,458.72,1052124060,985024.22
2028,1023.297299,463.63,1115033775,1020739.01
2029,1033.26332,460.78,1178054982,1056453.8
2030,1043.347659,469.27,1200123651,1092168.59
