ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,1.3464396,0.00000000,0.00000000,0.00000000,0.00000000,0.23470238,0.51034037,0.00000000,0.59252067,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005161,0.00047457,0.00000000,0.00000000,0.00835031,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,Jagung,0.12117835,0.00000000,0.00000000,0.00000000,0.00000000,0.02112274,0.04592960,0.00000000,0.05332566,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000465,0.00004271,0.00000000,0.00000000,0.00075151,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,Tanaman Umbi-umbian Palawija,1.199232,0.00000000,0.00000000,0.00000000,0.00000000,0.20904204,0.45454414,0.00000000,0.52773955,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004597,0.00042269,0.00000000,0.00000000,0.00743736,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,Tanaman Kacang-kacangan dan Serelia Lain,0.17644796,0.00000000,0.00000000,0.00000000,0.00000000,0.03075729,0.06687911,0.00000000,0.07764868,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000676,0.00006219,0.00000000,0.00000000,0.00109429,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,Horti Semusim,3.63819,0.00000000,0.00000000,0.00000000,0.00000000,0.63418509,1.37898157,0.00000000,1.60103947,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013946,0.00128234,0.00000000,0.00000000,0.02256322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6,Horti Tahunan atau Lainnya,2.1227654,0.00000000,0.00000000,0.00000000,0.00000000,0.37002622,0.80459055,0.00000000,0.93415406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00008137,0.00074820,0.00000000,0.00000000,0.01316490,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7,Perkebunan,6.599157,0.00000000,0.00000000,0.00000000,0.00000000,1.15032090,2.50127500,0.00000000,2.90405622,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00025297,0.00232597,0.00000000,0.00000000,0.04092644,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
8,Peternakan,5.867383,0.00000000,0.00000000,0.00000000,0.00000000,1.02276281,2.22391077,0.00000000,2.58202793,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00022491,0.00206805,0.00000000,0.00000000,0.03638815,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9,"Jasa Pertanian, dan Perburuan",0.5320444,0.00000000,0.00000000,0.00000000,0.00000000,0.09274232,0.20166030,0.00000000,0.23413373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002039,0.00018753,0.00000000,0.00000000,0.00329961,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10,Kehutanan,20.732686,0.00000000,0.00000000,0.00000000,0.00000000,3.61398262,7.85829797,0.00000000,9.12372254,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00079475,0.00730755,0.00000000,0.00000000,0.12857930,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
11,Ikan,25.363772,0.00000000,0.00000000,0.00000000,0.00000000,4.42124278,9.61361655,0.00000000,11.16170071,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00097227,0.00893985,0.00000000,0.00000000,0.15730024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
12,Udang,21.676839,0.00000000,0.00000000,0.00000000,0.00000000,3.77856133,8.21616038,0.00000000,9.53921166,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00083094,0.00764034,0.00000000,0.00000000,0.13443473,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
13,Perikanan Lainnya,3.431596,0.00000000,0.00000000,0.00000000,0.00000000,0.59817259,1.30067545,0.00000000,1.51012369,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013154,0.00120952,0.00000000,0.00000000,0.02128195,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
14,Pertambangan dan Penggalian,2400.113089,1382.64218985,0.16513606,0.00000000,0.00000000,5.04345493,10.96656398,0.00000000,196.86270426,9.57362381,0.00000000,2.64277139,790.06259055,0.00000000,0.00000000,0.00110910,0.01019798,0.00000000,0.00000000,2.14293591,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
15,Industri Pengolahan Migas,21911.48543,12622.63195649,1.50758575,0.00000000,0.00000000,46.04349257,100.11766019,0.00000000,1797.22959425,87.40101430,0.00000000,24.12679926,7212.76218556,0.00000000,0.00000000,0.01012535,0.09310097,0.00000000,0.00000000,19.56362350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
16,Industri Hasil Pengolahan Ikan Produk Perikanan Lain,183.598918,19.98450700,0.01331196,0.00000000,0.00000000,1.04885538,2.28064686,0.00000000,13.16221671,1.54270592,0.00000000,4.16558197,20.99574598,0.00000000,0.00000000,0.00023065,0.00212081,0.00000000,113.59244478,6.81058385,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
17,"Industri Makanan Lain, Minuman dan Tembakau",112.395401,12.23409412,0.00814930,0.00000000,0.00000000,0.64208717,1.39616395,0.00000000,8.05763174,0.94441206,0.00000000,2.55008152,12.85315331,0.00000000,0.00000000,0.00014120,0.00129831,0.00000000,69.53890133,4.16929594,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
18,Industri Barang Kayu dan  Hasil Hutan,946.33,1.01012820,0.20427503,0.00000000,0.00000000,35.36656928,76.90159821,0.00000000,76.22075335,3.46296652,0.00000000,11.22795116,433.93887461,0.00000000,0.00000000,0.00777740,0.07151199,0.00000000,167.16311341,140.76075671,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
19,Industri Kertas dan Barang Cetakan,29.7191033,7.51495954,0.00509227,0.00000000,0.00000000,0.18334796,0.39867456,0.00000000,2.38903256,0.10854183,0.00000000,0.35192437,13.85654168,0.00000000,0.00000000,0.00004032,0.00037073,0.00000000,0.41580420,4.49477428,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
20,Industri Semen dan Barang Galian Bukan Logam,457.25668,248.77419456,1.62322568,0.00000000,0.00000000,1.65760276,3.60431627,0.00000000,48.27623302,15.49252441,0.00000000,10.15827979,96.31720136,0.00000000,0.00000000,0.00036452,0.00335171,0.00000000,0.10608793,31.24329932,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
21,Industri Lainnya,134.585127,3.82780667,0.00254976,0.00000000,0.00000000,2.16224871,4.70162600,0.00000000,4.43177803,0.20135066,0.00000000,4.42293929,76.61934951,0.00000000,0.00000000,0.00047550,0.00437211,0.00000000,13.35690323,24.85372537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
22,"Listrik, Gas dan Air Bersih",609.0913563,131.34507948,0.00000000,0.00000000,0.00000000,0.06028106,0.13107604,0.00000000,67.10197323,31.80954245,0.00000000,1.06341706,161.79688898,0.00000000,0.00000000,0.00001326,0.00012189,0.00000000,0.00000005,8.25697680,0.00000000,0.00000000,11.27185734,196.25406372,0.00000000,0.00000000,0.00000000
23,Konstruksi,4566.806489,0.00000000,0.00000000,0.00000000,0.00000000,119.30739120,259.42377921,0.00000000,342.38099677,124.98525196,0.00000000,3174.41381886,91.73687221,0.00000000,0.00000000,0.02623669,0.24124220,0.00000000,424.53306596,29.75753569,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
24,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
25,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",324.84474,0.00000000,0.00000000,0.00000000,0.00000000,46.21750652,100.49603872,0.00000000,31.66324087,7.32904722,0.00000000,19.46828091,3.75282487,0.00000000,0.00000000,0.01016362,0.09345283,0.00000000,9.71622085,106.09801513,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
