ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,86561.66,0,27252.0675,0,0,27252.0675,32010.365,41.401764,0,0,0.348984,5.409252,0,0,0
2,Jagung,3673.6,0,0,1101,0,0,2569,3.16044,0,0,0.02664,0.41292,0,0,0
3,Tanaman Umbi-umbian Palawija,4102.41,0,0,1220.355,0,0,2847.495,30.340224,0,0,0.255744,3.964032,0,0,0
4,Tanaman Kacang-kacangan dan Serelia Lain,276.6,0,0,81.18,0,0,189.42,5.2674,0,0,0.0444,0.6882,0,0,0
5,Horti Semusim,2949.36,0,0,845.82,0,0,1973.58,114.091884,0,0,0.961704,14.906412,0,0,0
6,Horti Tahunan atau Lainnya,82.30635,0,0,8.455905,0,0,19.730445,47.511948,0,0,0.400488,6.207564,0,0,0
7,Perkebunan,30008.527,0,0,429.5061,0,0,6653.9209,349.75536,0,0,8842.02312,13733.32152,0,0,0
8,Peternakan,288744.75,0,0,0,0,0,0,0,0,0,0,288744.75,0,0,0
9,"Jasa Pertanian, dan Perburuan",23.2538945,0.010422,0.00222915,0,0,0.03538655,0.0458568,20.332164,0,0,0.171384,2.656452,0,0,0
10,Kehutanan,26087.02026,0,0,7194.750974,0,0,18049.98929,739.437612,0,0,6.232872,96.609516,0,0,0
11,Ikan,4922.766645,0,0,2070.903323,0,0,2070.903323,685.604784,0,0,5.779104,89.576112,0,0,0
12,Udang,956.638745,0,0,225.3593725,0,0,225.3593725,444.147168,0,0,3.743808,58.029024,0,0,0
13,Perikanan Lainnya,132.738125,0,0,33.9690625,0,0,33.9690625,56.88792,0,0,0.47952,7.43256,0,0,0
14,Pertambangan dan Penggalian,5247.307562,2.351754,0.50301405,0,0,7.98507585,10.3477176,4588.010748,0,0,38.673288,599.435964,0,0,0
15,Industri Pengolahan Migas,9970.378362,4.468554,0.95577405,0,0,15.17239585,19.6616376,8717.652348,0,0,73.482888,1138.984764,0,0,0
16,Industri Hasil Pengolahan Ikan Produk Perikanan Lain,128.5590955,0.057618,0.01232385,0,0,0.19563445,0.2535192,112.406316,0,0,0.947496,14.686188,0,0,0
17,"Industri Makanan Lain, Minuman dan Tembakau",147.716449,0.066204,0.0141603,0,0,0.2247871,0.2912976,129.156648,0,0,1.088688,16.874664,0,0,0
18,Industri Barang Kayu dan  Hasil Hutan,467.48762,0.20952,0.044814,0,0,0.711398,0.921888,408.75024,0,0,3.44544,53.40432,0,0,0
19,Industri Kertas dan Barang Cetakan,18.9163805,0.008478,0.00181335,0,0,0.02878595,0.0373032,16.539636,0,0,0.139416,2.160948,0,0,0
20,Industri Semen dan Barang Galian Bukan Logam,71.568981,0.032076,0.0068607,0,0,0.1089099,0.1411344,62.576712,0,0,0.527472,8.175816,0,0,0
21,Industri Lainnya,131.330285,0.05886,0.0125895,0,0,0.1998515,0.258984,114.82932,0,0,0.96792,15.00276,0,0,0
22,"Listrik, Air Bersih",59462.5395,34.452135,5.902454959,820.358156,0,93.5822067,121.2861621,51252.22339,0,0,432.015552,6702.281309,0,0,0.438131237
23,Konstruksi,6519.404029,2.921886,0.62495895,0,0,9.92088515,12.8562984,5700.274932,0,0,48.048792,744.756276,0,0,0
24,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",502.5491915,0.225234,0.04817505,0,0,0.76475285,0.9910296,439.406508,0,0,3.703848,57.409644,0,0,0
25,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1687.654406,0.756378,0.16178085,0,0,2.56818345,3.3280632,1475.609436,0,0,12.438216,192.792348,0,0,0
26,Jasa Angkutan Darat,7961.015445,39.935445,0,0,0,0,0,0,0,0,5544.756,2376.324,0,0,0
