Padi,Pertanian Kehutanan dan Perikanan
Jagung,Pertanian Kehutanan dan Perikanan
Kedelai,Pertanian Kehutanan dan Perikanan
Hasil Tanaman Pangan Lainnya,Pertanian Kehutanan dan Perikanan
Cabe,Pertanian Kehutanan dan Perikanan
Sayur-sayuran Lainnya,Pertanian Kehutanan dan Perikanan
Buah-buahan,Pertanian Kehutanan dan Perikanan
Hasil Tanaman Biofarmaka dan tanaman hias,Pertanian Kehutanan dan Perikanan
Kelapa sawit,Pertanian Kehutanan dan Perikanan
Kakao,Pertanian Kehutanan dan Perikanan
Kelapa,Pertanian Kehutanan dan Perikanan
Cengkeh,Pertanian Kehutanan dan Perikanan
Kopi,Pertanian Kehutanan dan Perikanan
Hasil Tanaman Perkebunan Lainnya,Pertanian Kehutanan dan Perikanan
Sapi dan Kerbau,Pertanian Kehutanan dan Perikanan
Ternak Lainnya dan Hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Jasa Pertanian dan Perburuan,Pertanian Kehutanan dan Perikanan
Produk Kehutanan dan Penebangan Kayu,Pertanian Kehutanan dan Perikanan
Hasil Perikanan tangkap,Pertanian Kehutanan dan Perikanan
Hasil perikanan budidaya ikan darat dan hasil perikanan darat lainnya,Pertanian Kehutanan dan Perikanan
Batubara dan Lignit,Pertambangan dan Penggalian
Hasil Pertambangan dan Penggalian Lainnya,Pertambangan dan Penggalian
Produk pengolahan Batubara dan Pengilangan Migas,Industri Pengolahan
Minyak Sawit dan Minyak Goreng Sawit,Industri Pengolahan
Produk Makanan Minuman dan pengolahan tembakau,Industri Pengolahan
Tekstil dan Pakaian Jadi,Industri Pengolahan
Produk Kayu olahan Barang dari Kayu dan Gabus dan Sejenisnya,Industri Pengolahan
Kertas dan Barang dari Kertas Percetakan,Industri Pengolahan
Produk Kimia Farmasi dan Obat Tradisional,Industri Pengolahan
Produk olahan Karet Barang dari Karet dan Plastik,Industri Pengolahan
Barang Galian bukan Logam,Industri Pengolahan
Produk olahan Logam Dasar dan Industri Barang dari Logam,Industri Pengolahan
Alat Angkutan,Industri Pengolahan
Furnitur,Industri Pengolahan
Produk pengolahan lainnya,Industri Pengolahan
Listrik Gas dan Air,Pengadaan Listrik Gas
Konstruksi,Konstruksi
Jasa Perdagangan Mobil Sepeda Motor dan Reparasinya,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Jasa Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Jasa Angkutan Darat,Transportasi dan Pergudangan
Jasa Angkutan Laut,Transportasi dan Pergudangan
Jasa Angkutan Sungai Danau dan Penyeberangan,Transportasi dan Pergudangan
Jasa Angkutan Udara,Transportasi dan Pergudangan
Jasa Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir,Transportasi dan Pergudangan
Jasa Penyediaan Akomodasi,Penyediaan Akomodasi dan Makan Minum
Jasa Penyediaan Makan Minum,Penyediaan Akomodasi dan Makan Minum
Jasa Informasi dan Komunikasi,Informasi dan Komunikasi
Jasa Perantara Keuangan,Jasa Keuangan dan Asuransi
Jasa Asuransi Dana Pensiun dan jasa penunjang keuangan,Jasa Keuangan dan Asuransi
Jasa Keuangan Lainnya,Jasa Keuangan dan Asuransi
Jasa Real Estate,Real Estat
Jasa Perusahaan,Jasa Perusahaan
Jasa Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib
Jasa Pendidikan,Jasa Pendidikan
Jasa Kesehatan dan Kegiatan Sosial,Jasa Kesehatan dan Kegiatan Sosial
Jasa lainnya,Jasa lainnya
