Year,Energi,Limbah,Kehutanan,Pertanian
2010,262.3994439,109.5623131,0,708980.6606
2011,300.9675957,130.859667,0,727153.538
2012,342.8399634,147.6128137,0,766188.607
2013,387.428326,161.323,0,805223.676
2014,433.9192484,173.003926,0,844258.745
2015,481.2843174,183.3416791,0,883293.814
2016,528.3092579,192.8026683,0,922328.883
2017,573.6427446,201.7055834,0,961363.952
2018,615.863716,210.269859,0,1000399.021
2019,653.5637744,218.6481841,0,1039434.09
2020,685.4390722,226.9483393,0,1078469.159
2021,719.0234123,244.7317793,0,1117504.228
2022,754.4197864,255.8828626,0,1156539.297
2023,791.7382216,267.033946,0,1195574.366
2024,831.0963158,278.1850293,0,1234609.435
2025,872.6198193,289.3361126,0,1273644.504
2026,916.4432631,300.487196,0,1312679.573
2027,962.7106405,311.6382793,0,1351714.642
2028,1011.576145,322.7893626,0,1390749.711
2029,1063.204969,333.940446,0,1429784.78
2030,1117.774173,345.0915293,0,1468819.849
