Padi ,Pertanian Kehutanan dan Perikanan
Jagung ,Pertanian Kehutanan dan Perikanan
Ketela Pohon ,Pertanian Kehutanan dan Perikanan
Umbi-Umbian Lainnya ,Pertanian Kehutanan dan Perikanan
Kacang Tanah ,Pertanian Kehutanan dan Perikanan
Kedelai ,Pertanian Kehutanan dan Perikanan
Kacang-Kacangan Lainnya ,Pertanian Kehutanan dan Perikanan
Sayur-Sayuran ,Pertanian Kehutanan dan Perikanan
Buah-Buahan ,Pertanian Kehutanan dan Perikanan
Padi-Padian dan Bahan Makanan Lainnya ,Pertanian Kehutanan dan Perikanan
Karet ,Pertanian Kehutanan dan Perikanan
Tebu ,Pertanian Kehutanan dan Perikanan
Kelapa ,Pertanian Kehutanan dan Perikanan
Kelapa Sawit ,Pertanian Kehutanan dan Perikanan
Kopi ,Pertanian Kehutanan dan Perikanan
Cengkeh ,Pertanian Kehutanan dan Perikanan
Kakao ,Pertanian Kehutanan dan Perikanan
Jambu Mete ,Pertanian Kehutanan dan Perikanan
Hasil Perkebunan Lainnya ,Pertanian Kehutanan dan Perikanan
Hasil Pertanian Lainnya ,Pertanian Kehutanan dan Perikanan
Sapi ,Pertanian Kehutanan dan Perikanan
Ternak Lainnya dan Hasil-Hasilnya (termasuk Susu Segar) ,Pertanian Kehutanan dan Perikanan
Unggas dan Hasil-Hasilnya ,Pertanian Kehutanan dan Perikanan
Ulat Sutera ,Pertanian Kehutanan dan Perikanan
Hasil Pemeliharaan Hewan Lainnya ,Pertanian Kehutanan dan Perikanan
Kayu ,Pertanian Kehutanan dan Perikanan
Hasil Hutan Lainnya ,Pertanian Kehutanan dan Perikanan
Ikan Laut dan Hasil Lainnya ,Pertanian Kehutanan dan Perikanan
Budidaya Udang ,Pertanian Kehutanan dan Perikanan
Budidaya Bandeng ,Pertanian Kehutanan dan Perikanan
Ikan Darat dan Hasil Perairan Darat Lainnya ,Pertanian Kehutanan dan Perikanan
Jasa Pertanian ,Pertanian Kehutanan dan Perikanan
Gas Alam ,Pertambangan dan Penggalian
Bijih Nikel ,Pertambangan dan Penggalian
Barang Tambang Lainnya ,Pertambangan dan Penggalian
Garam Kasar ,Pertambangan dan Penggalian
Barang Galian Segala Jenis ,Pertambangan dan Penggalian
Daging Jeroan dan Sejenisnya ,Industri Pengolahan
Daging Olahan dan Awetan ,Industri Pengolahan
Buah-Buahan dan Sayur-Sayuran Olahan dan Awetan ,Industri Pengolahan
Ikan Olahan dan Awetan ,Industri Pengolahan
Kopra dan Minyak Hewani dan Nabati ,Industri Pengolahan
Beras ,Industri Pengolahan
Tepung Terigu ,Industri Pengolahan
Tepung Lainnya ,Industri Pengolahan
"Roti, Biskuit, dan Sejenisnya ",Industri Pengolahan
"Mie, Makaroni, dan Sejenisnya ",Industri Pengolahan
Gula ,Industri Pengolahan
"Biji-Bijian Kupasan, Coklat Bubuk, dan Kembang Gula ",Industri Pengolahan
Kopi Giling dan Kupasan ,Industri Pengolahan
Makanan Lainnya ,Industri Pengolahan
Pakan Ternak ,Industri Pengolahan
Minuman (termasuk Minuman Beralkohol) ,Industri Pengolahan
Tembakau Olahan dan Rokok ,Industri Pengolahan
Kapuk Bersih ,Industri Pengolahan
Benang Sutra ,Industri Pengolahan
Benang ,Industri Pengolahan
Tekstil Sutera ,Industri Pengolahan
Tekstil ,Industri Pengolahan
Tekstil Jadi dan Pakaian Jadi ,Industri Pengolahan
"Permadani,Tali, dan Tekstil Lainnya ",Industri Pengolahan
"Kulit Samakan dan Olahan, serta Barang-Barang dari Kulit dan Alas Kaki ",Industri Pengolahan
Kayu Gergajian dan Awetan ,Industri Pengolahan
Kayu Lapis dan Sejenisnya ,Industri Pengolahan
Bahan Bangunan dari Kayu ,Industri Pengolahan
"Perabot Rumah Tangga Terbuat dari Kayu, Bambu, dan Rotan ",Industri Pengolahan
"Kertas dan Barang-Barang dari Kertas dan Karton, termasuk Barang-Barang Cetakan ",Industri Pengolahan
Pupuk dan Pestisida ,Industri Pengolahan
Barang-Barang Kimia Lainnya ,Industri Pengolahan
Barang-Barang Hasil Kilang Minyak ,Industri Pengolahan
Karet dan Barang-Barang dari Karet ,Industri Pengolahan
Barang-Barang Plastik ,Industri Pengolahan
