Year,Energi,Limbah,Kehutanan,Pertanian
2010,7.701583618,1617.63,0,7380595.695
2011,8.289535033,17.25,422145.69,7638004.04
2012,8.928828934,17.49,414722,7941781.61
2013,9.623179096,17.71,407446.91,8245559.18
2014,10.37647964,17.95,400317.39,8549336.75
2015,11.19282499,18.18,393330.48,8853114.32
2016,12.07653777,18.43,386483.25,9156891.89
2017,13.03220597,18.67,379772.87,9460669.46
2018,14.06473108,18.93,373196.54,9764447.03
2019,15.1793883,19.17,366751.54,10068224.6
2020,16.38190054,19.43,360435.22,10372002.17
2021,17.69409603,16.483,354244.95,10675779.74
2022,19.12652666,18.317,348178.16,10979557.31
2023,20.69079751,18.316,342232.38,11283334.88
2024,22.3996754,18.317,336405.13,11587112.45
2025,24.26720902,18.317,330694,11890890.02
2026,26.30886168,18.317,325096.68,12194667.59
2027,28.54165841,18.317,319610.81,12498445.16
2028,30.98434856,18.316,314234.17,12802222.73
2029,33.65758598,18.317,308964.54,13106000.3
2030,36.58412838,18.317,0,13409777.87
