Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LRC,LPC
Padi ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,135750.5,132244,644362,0,0,0,0,0,0,0,0,0,912356.5,0.078569128,12.72764542
Jagung ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,54300.2,39673.2,0,0,0,0,0,0,0,0,0,0,93973.4,0.031881429,31.36622246
Ketela Pohon ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,26448.8,0,0,0,0,0,0,0,0,0,0,26448.8,0.024457497,40.8872584
Umbi-Umbian Lainnya ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,26448.8,0,0,0,0,0,0,0,0,0,0,26448.8,0.138167727,7.237580155
Kacang Tanah ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,26448.8,0,0,0,0,0,0,0,0,0,0,26448.8,0.078042077,12.81360062
Kedelai ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,27150.1,66122,0,0,0,0,0,0,0,0,0,0,93272.1,0.397113344,2.518172744
Kacang-Kacangan Lainnya ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,27150.1,39673.2,0,0,0,0,0,0,0,0,0,0,66823.3,0.419321575,2.384804552
Sayur-Sayuran ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,66122,0,0,0,0,0,0,0,0,0,0,66122,0.051482089,19.42423127
Buah-Buahan ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,6016.4,0,0,0,0,66122,0,0,0,0,0,0,0,0,0,0,72138.4,0.038575136,25.92343398
Padi-Padian dan Bahan Makanan Lainnya ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,27150.1,66122,0,0,0,0,0,0,0,0,0,0,93272.1,0.477816925,2.092851775
Karet ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,6016.4,0,0,0,0,66122,0,0,0,0,0,0,0,0,0,0,72138.4,33.48219797,0.029866618
Tebu ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,6016.4,0,0,0,0,39673.2,0,0,0,0,0,0,0,0,0,0,45689.6,0.231639471,4.317053553
Kelapa ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,6016.4,0,0,0,0,66122,0,0,0,0,0,0,0,0,0,0,72138.4,0.215842025,4.63301806
Kelapa Sawit ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,6016.4,0,0,0,0,132244,0,0,0,0,0,0,0,0,0,0,138260.4,0.319920513,3.125776433
Kopi ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,6016.4,0,0,0,0,66122,0,0,0,0,0,0,0,0,0,0,72138.4,0.081749771,12.23245012
Cengkeh ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,6016.4,0,0,0,0,132244,0,0,0,0,0,0,0,0,0,0,138260.4,0.176168942,5.676369445
Kakao ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,6016.4,0,0,0,0,66122,0,0,0,0,0,0,0,0,0,0,72138.4,0.015125532,66.11337679
