Padi,Pertanian Kehutanan dan Perikanan
Jagung,Pertanian Kehutanan dan Perikanan
"Umbi-umbian, Kacang-kacangan, dan Sayur-sayuran",Pertanian Kehutanan dan Perikanan
Buah-buahan,Pertanian Kehutanan dan Perikanan
Jambu mete,Pertanian Kehutanan dan Perikanan
Kakao,Pertanian Kehutanan dan Perikanan
Tanaman Perkebunan Lainnya,Pertanian Kehutanan dan Perikanan
Ternak dan Hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Unggas & Hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Kayu ,Pertanian Kehutanan dan Perikanan
Hasil Hutan Lainnya,Pertanian Kehutanan dan Perikanan
Perikanan Darat dan laut,Pertanian Kehutanan dan Perikanan
Nikel,Pertambangan dan Penggalian
Aspal,Pertambangan dan Penggalian
Penggalian Lainnya,Pertambangan dan Penggalian
Pengilangan Minyak,Pertambangan dan Penggalian
Industri Makanan dan Minuman & Tembakau,Industri Pengolahan
"Industri Tekstil, Kayu, Kertas, Pupuk, Semen, & sejenisnya",Industri Pengolahan
Industri Ferro Nikel dan Besi/baja lainnya,Industri Pengolahan
Industri Lainnya,Industri Pengolahan
Listrik,Pengadaan Listrik Gas
Air Bersih,Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang
Konstruksi/Bangunan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Jasa Perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Jasa Perhotelan dan Restoran,Penyediaan Akomodasi dan Makan Minum
Jasa Angkutan dan Jasa Komunikasi,Transportasi dan Pergudangan
Bank dan Lembaga Keuangan lainnya,Jasa Keuangan dan Asuransi
Sewa Bangunan dan Jasa Perusahaan,Real Estat
Jasa Pemerintahan,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib
Jasa Pendidikan Kesehatan dan Kemasyarakatan Sosial,Jasa Pendidikan
Jasa Hiburan Rekreasi  dan Kebudayaan Swasta,Jasa lainnya
Jasa Perorangan dan Rumahtangga,Jasa lainnya
