Sektor,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Padi ,0,0,0,0,0,0,0,0,0,127.4,0,0,0,47600,0,0,0,0,0,0,0,47727.4,51.30082388,0.019492864
Jagung ,0,0,0,0,0,0,0,0,0,0,0,29388.5,0,0,0,0,0,0,0,0,0,29388.5,17.88432514,0.055914886
Tanaman Pangan Lainnya ,0,0,0,0,0,0,0,0,0,0,0,29388.5,0,0,0,0,0,0,0,0,0,29388.5,25.01189863,0.039980971
Tanaman Hortikultura Semusim ,0,0,0,0,0,0,0,0,0,0,0,29388.5,0,0,0,0,0,0,0,0,0,29388.5,30.3384242,0.032961501
Tanaman Hortikultura Tahunan dan Lainnya ,0,0,0,0,0,0,0,0,0,0,0,29388.5,0,0,0,0,0,0,0,0,0,29388.5,39.81290336,0.025117485
Perkebunan Semusim ,0,0,0,0,0,0,0,93.9,3926.8,127.4,0,29388.5,0,0,0,0,0,0,0,0,0,33536.6,0.030475726,32.8129998
Kelapa ,0,0,0,0,0,0,0,0,0,0,0,29388.5,42600.6,0,0,0,0,0,0,0,0,71989.1,26.21401414,0.038147534
Cengkih ,0,0,0,0,0,0,0,0,0,0,0,29388.5,42600.6,0,0,0,0,0,0,0,0,71989.1,25.46124016,0.039275385
Perkebunan Tahunan ,0,0,0,0,0,0,0,62.6,3926.8,0,0,29388.5,42600.6,0,0,0,0,0,0,0,0,75978.5,27.41786254,0.036472573
Peternakan dan Hasil-hasilnya ,0,0,0,0,0,0,0,0,0,0,0,29388.5,42600.6,0,0,0,0,0,0,0,0,71989.1,39.12410703,0.025559689
Jasa Pertanian dan Perburuan   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kehutanan dan Penebangan Kayu ,23727.9,62043.8,0,0,783.6,606.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87161.9,5.98287555,0.167143707
Perikanan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,1105,0,1536,5150.756044,0.000194146
"Pertambangan Minyak, Gas dan Panas Bumi ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,100.9,0,0,2206.9,89.78974118,0.01113713
Pertambangan Batubara dan Lignit ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,201.8,0,0,2307.8,0,0
Pertambangan Bijih Logam ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,302.7,0,0,2408.7,400.1702804,0.002498936
Pertambangan dan Penggalian Lainnya ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,100.9,0,0,2206.9,1641.783644,0.000609094
Industri Batubara dan Pengilangan Migas ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,0,0
Industri Makanan dan Minuman  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,33481.77221,2.99E-05
Pengolahan Tembakau ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,0,0
Industri Tekstil dan Pakaian Jadi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,89.55890766,0.011165835
"Industri Kulit, Barang dari Kulit dan Alas Kaki  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,6.906159836,0.14479827
"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,302.2570511,0.003308442
"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,769.5316463,0.001299492
"Industri Kimia, Farmasi dan Obat Tradisional ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,495.6899888,0.00201739
"Industri Karet, Barang dari Karet dan Plastik ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,11.63424338,0.085953161
Industri Barang Galian bukan Logam ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,1035.841576,0.000965399
Industri Logam Dasar  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,658.2081798,0.001519276
"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,1737.874339,0.000575416
Industri Mesin dan Perlengkapan YTDL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,0,#DIV/0!
Industri Alat Angkutan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,174.5156438,0.005730145
Industri Furnitur ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,322.7086874,0.00309877
"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.4146341,0,0,0,0,0,631.4146341,187.2720436,0.005339825
